tax_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,area_km2,human_pop_total,head_count_sheep_ovins,head_count_goats_caprins,head_count_cattle_bovins,head_count_camels_camelides,head_count_equines_chevaux_mulets,total_livestock_head_count,total_livestock_units_lsu,lsu_per_km2,livestock_per_capita
1936,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,1500.0,50333,24624,13920,4914,521,3498,47477,12087.8,8.06,0.94
1936,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,2100.0,48535,54180,31903,2659,5061,3372,97175,19025.9,9.06,2.0
1936,HSU_THALA,Thala,تالة,Center-West,2600.0,50333,86736,51854,4477,7228,4774,155069,29383.2,11.3,3.08
1936,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,3100.0,39547,92628,58925,4390,7533,5111,168587,31167.1,10.05,4.26
1936,HSU_KASSERINE,Kasserine,القصرين,Center-West,2500.0,32357,63600,36180,3450,5575,3636,112441,21911.8,8.76,3.48
1936,HSU_SFAX,Sfax,صفاقس,South,3800.0,129427,106704,61013,6430,9804,6731,190682,38390.5,10.1,1.47
1936,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,1200.0,46738,34704,21946,1836,3060,1797,63343,11998.6,10.0,1.36
1936,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,900.0,39547,16265,8100,3046,314,1980,29705,7380.5,8.2,0.75
1936,HSU_KERKENNAH,Kerkennah,قرقنة,South,160.0,14381,5069,3064,236,470,267,9106,1732.9,10.83,0.63
1936,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,6500.0,70107,171600,94536,10530,16705,9547,302918,61486.2,9.46,4.32
1936,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,4700.0,50333,162996,70387,7050,9635,7343,257411,45897.7,9.77,5.11
1936,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,7000.0,35952,170520,136080,10794,19950,12096,349440,71080.8,10.15,9.72
1936,HSU_GABES,Gabès Littoral,قابس,South,7100.0,59321,201924,144670,11417,14626,13649,386286,71621.6,10.09,6.51
1936,HSU_DJERBA,Djerba,جربة,South,514.0,55726,17764,9918,666,1239,877,30464,5374.8,10.46,0.55
1936,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,8500.0,86285,297840,164628,15096,22015,14566,514145,95010.6,11.18,5.96
1936,HSU_TATAOUINE,Tataouine,تطاوين,South,38000.0,35952,1144560,615600,64296,79040,68400,1971896,374072.0,9.84,54.85
1936,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,22000.0,48535,715440,391248,38808,54780,46570,1246846,241512.8,10.98,25.69
1936,HSU_MATMATA,Matmata,مطماطة,South,4500.0,17976,119880,71928,6534,10530,7906,216778,42569.6,9.46,12.06
