census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,area_km2,pop_total,pop_tunisian_muslim,pop_tunisian_jewish,pop_french,pop_italian,pop_maltese,pop_other_european,pop_male,pop_female,num_households,pop_urban_commune,pop_european_total,share_european,share_french,share_italian,share_maltese,share_jewish,share_muslim,ratio_italian_to_french,urbanization_rate,sex_ratio,persons_per_household,pop_density,log_pop_total,log_pop_density,ethno_fractionalization
1946,HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,1800.0,95749,87050,1433,4219,2684,255,108,49024,46725,18774,17814,7266,0.07589,0.04406,0.02803,0.00266,0.01497,0.90915,0.6362,0.18605,1.0492,5.1,53.19,11.4695,3.9739,0.1705
1956,HSU_BEJA,Béja,باجة,North-West,TN_CC_BEJA,36.7256,9.1817,1800.0,112113,102080,1449,4954,3201,300,129,57402,54711,21983,20858,8584,0.07657,0.04419,0.02855,0.00268,0.01292,0.91051,0.6461,0.18604,1.0492,5.1,62.28,11.6273,4.1317,0.168
1921,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,1150.0,79371,63943,1299,7404,5948,544,233,40638,38733,15564,43293,14129,0.17801,0.09328,0.07494,0.00685,0.01637,0.80562,0.8033,0.54545,1.0492,5.1,69.02,11.2819,4.2344,0.3363
1926,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,1150.0,81864,64353,1339,8475,6807,623,267,41914,39950,16052,44653,16172,0.19755,0.10353,0.08315,0.00761,0.01636,0.7861,0.8032,0.54545,1.0492,5.1,71.19,11.3128,4.2653,0.3641
1931,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,1150.0,91378,69650,1495,10603,8517,780,333,46786,44592,17917,49843,20233,0.22142,0.11603,0.09321,0.00854,0.01636,0.76222,0.8033,0.54546,1.0492,5.1,79.46,11.4228,4.3752,0.3965
1936,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,1150.0,98867,73263,1780,12484,10028,918,394,50620,48247,19386,53927,23824,0.24097,0.12627,0.10143,0.00929,0.018,0.74103,0.8033,0.54545,1.0492,5.1,85.97,11.5015,4.454,0.4242
1946,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,1150.0,122469,89149,2204,16337,13065,1199,515,62703,59766,24012,66801,31116,0.25407,0.1334,0.10668,0.00979,0.018,0.72793,0.7997,0.54545,1.0491,5.1,106.49,11.7156,4.6681,0.4405
1956,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,TN_CC_BIZERTE,37.2744,9.8739,1150.0,143401,102779,2230,20183,16093,1480,636,73422,69979,28118,78219,38392,0.26772,0.14075,0.11222,0.01032,0.01555,0.71672,0.7974,0.54546,1.0492,5.1,124.7,11.8734,4.8259,0.4535
1921,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,950.0,40407,36488,310,1396,2056,109,48,20688,19719,7923,4329,3609,0.08932,0.03455,0.05088,0.0027,0.00767,0.90301,1.4728,0.10713,1.0491,5.1,42.53,10.6068,3.7503,0.1807
1926,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,950.0,41676,37225,320,1598,2353,126,54,21338,20338,8171,4465,4131,0.09912,0.03834,0.05646,0.00302,0.00768,0.8932,1.4725,0.10714,1.0492,5.1,43.87,10.6377,3.7812,0.1975
1931,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,950.0,46519,40993,358,2000,2944,157,67,23818,22701,9121,4984,5168,0.11109,0.04299,0.06329,0.00337,0.0077,0.88121,1.472,0.10714,1.0492,5.1,48.97,10.7476,3.8912,0.2175
1936,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,950.0,50333,43822,425,2355,3467,185,79,25770,24563,9869,5393,6086,0.12091,0.04679,0.06888,0.00368,0.00844,0.87064,1.4722,0.10715,1.0491,5.1,52.98,10.8264,3.97,0.235
1946,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,950.0,62348,54832,526,2712,3971,215,92,31922,30426,12225,6680,6990,0.11211,0.0435,0.06369,0.00345,0.00844,0.87945,1.4642,0.10714,1.0492,5.1,65.63,11.0405,4.184,0.2205
1956,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,TN_CC_GROMBALIA,36.6,10.5,950.0,73004,64617,533,3053,4453,244,104,37378,35626,14315,7822,7854,0.10758,0.04182,0.061,0.00334,0.0073,0.88512,1.4586,0.10714,1.0492,5.1,76.85,11.1983,4.3418,0.211
1921,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,1300.0,34634,33855,69,391,284,25,10,17733,16901,6791,0,710,0.0205,0.01129,0.0082,0.00072,0.00199,0.97751,0.7263,0.0,1.0492,5.1,26.64,10.4526,3.2825,0.0443
1926,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,1300.0,35722,34838,71,447,325,28,13,18290,17432,7004,0,813,0.02276,0.01251,0.0091,0.00078,0.00199,0.97525,0.7271,0.0,1.0492,5.1,27.48,10.4835,3.3134,0.0486
1931,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,1300.0,39874,38777,80,559,407,36,15,20415,19459,7818,0,1017,0.02551,0.01402,0.01021,0.0009,0.00201,0.97249,0.7281,0.0,1.0491,5.1,30.67,10.5935,3.4234,0.054
1936,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,1300.0,43142,41850,95,658,479,42,18,22089,21053,8459,0,1197,0.02775,0.01525,0.0111,0.00097,0.0022,0.97005,0.728,0.0,1.0492,5.1,33.19,10.6723,3.5021,0.0586
1946,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,1300.0,53441,52054,118,698,508,44,19,27362,26079,10479,0,1269,0.02375,0.01306,0.00951,0.00082,0.00221,0.97405,0.7278,0.0,1.0492,5.1,41.11,10.8863,3.7162,0.051
1956,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,TN_CC_LE_KEF,35.94,8.83,1300.0,62575,61126,119,732,532,47,19,32038,30537,12270,0,1330,0.02125,0.0117,0.0085,0.00075,0.0019,0.97684,0.7268,0.0,1.0492,5.1,48.13,11.0441,3.874,0.0456
1921,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,1200.0,37521,37138,75,139,154,11,4,19211,18310,7357,0,308,0.00821,0.0037,0.0041,0.00029,0.002,0.98979,1.1079,0.0,1.0492,5.1,31.27,10.5327,3.4426,0.0203
1926,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,1200.0,38699,38270,77,158,176,12,6,19814,18885,7588,0,352,0.0091,0.00408,0.00455,0.00031,0.00199,0.98891,1.1139,0.0,1.0492,5.1,32.25,10.5636,3.4735,0.022
1931,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,1200.0,43196,42669,86,198,220,15,8,22116,21080,8470,0,441,0.01021,0.00458,0.00509,0.00035,0.00199,0.9878,1.1111,0.0,1.0491,5.1,36.0,10.6735,3.5834,0.0242
1936,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,1200.0,46738,46116,103,234,260,18,7,23930,22808,9164,0,519,0.0111,0.00501,0.00556,0.00039,0.0022,0.98669,1.1111,0.0,1.0492,5.1,38.95,10.7523,3.6622,0.0264
1946,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,1200.0,57894,57217,127,248,275,19,8,29642,28252,11352,0,550,0.0095,0.00428,0.00475,0.00033,0.00219,0.98831,1.1089,0.0,1.0492,5.1,48.24,10.9664,3.8763,0.0232
1956,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,TN_CC_SFAX,35.0333,10.9,1200.0,67789,67084,129,259,288,20,9,34708,33081,13292,0,576,0.0085,0.00382,0.00425,0.0003,0.0019,0.9896,1.112,0.0,1.0492,5.1,56.49,11.1242,4.0341,0.0207
1921,HSU_DJERBA,Djerba,جربة,South,TN_CC_GABES,33.8075,10.8451,514.0,44737,38731,4834,549,572,36,15,22906,21831,8772,7216,1172,0.0262,0.01227,0.01279,0.0008,0.10805,0.86575,1.0419,0.1613,1.0492,5.1,87.04,10.7086,4.4663,0.2385
1926,HSU_DJERBA,Djerba,جربة,South,TN_CC_GABES,33.8075,10.8451,514.0,46141,39814,4986,628,654,41,18,23624,22517,9047,7442,1341,0.02906,0.01361,0.01417,0.00089,0.10806,0.86288,1.0414,0.16129,1.0492,5.1,89.77,10.7395,4.4972,0.2434
1931,HSU_DJERBA,Djerba,جربة,South,TN_CC_GABES,33.8075,10.8451,514.0,51503,44259,5566,785,818,51,24,26369,25134,10099,8307,1678,0.03258,0.01524,0.01588,0.00099,0.10807,0.85935,1.042,0.16129,1.0491,5.1,100.2,10.8494,4.6072,0.2494
1936,HSU_DJERBA,Djerba,جربة,South,TN_CC_GABES,33.8075,10.8451,514.0,55726,47127,6624,925,964,61,25,28532,27194,10926,8988,1975,0.03544,0.0166,0.0173,0.00109,0.11887,0.84569,1.0422,0.16129,1.0492,5.1,108.42,10.9282,4.686,0.2701
1946,HSU_DJERBA,Djerba,جربة,South,TN_CC_GABES,33.8075,10.8451,514.0,69028,58421,8205,1128,1169,73,32,35343,33685,13535,11134,2402,0.0348,0.01634,0.01694,0.00106,0.11886,0.84634,1.0363,0.1613,1.0492,5.1,134.3,11.1423,4.9,0.269
1956,HSU_DJERBA,Djerba,جربة,South,TN_CC_GABES,33.8075,10.8451,514.0,80825,69708,8298,1327,1370,85,37,41382,39443,15848,13036,2819,0.03488,0.01642,0.01695,0.00105,0.10267,0.86246,1.0324,0.16129,1.0492,5.1,157.25,11.3,5.0578,0.2451
1921,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,900.0,31748,30993,116,296,314,20,9,16255,15493,6225,2886,639,0.02013,0.00932,0.00989,0.00063,0.00365,0.97622,1.0608,0.0909,1.0492,5.1,35.28,10.3656,3.5632,0.0468
1926,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,900.0,32746,31896,119,339,359,23,10,16766,15980,6421,2977,731,0.02232,0.01035,0.01096,0.0007,0.00363,0.97404,1.059,0.09091,1.0492,5.1,36.38,10.3965,3.5941,0.051
1931,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,900.0,36551,35503,133,424,449,29,13,18714,17837,7167,3323,915,0.02503,0.0116,0.01228,0.00079,0.00364,0.97133,1.059,0.09091,1.0492,5.1,40.61,10.5065,3.7041,0.0562
1936,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,900.0,39547,38310,159,500,530,34,14,20248,19299,7754,3595,1078,0.02726,0.01264,0.0134,0.00086,0.00402,0.96872,1.06,0.0909,1.0492,5.1,43.94,10.5852,3.7829,0.0612
1946,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,900.0,48987,47525,196,589,621,40,16,25081,23906,9605,4453,1266,0.02584,0.01202,0.01268,0.00082,0.004,0.97016,1.0543,0.0909,1.0492,5.1,54.43,10.7993,3.9969,0.0585
1956,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,TN_CC_SFAX,35.3,10.7167,900.0,57361,55715,199,674,707,45,21,29369,27992,11248,5215,1447,0.02523,0.01175,0.01233,0.00078,0.00347,0.9713,1.049,0.09092,1.0492,5.1,63.73,10.9571,4.1547,0.0563
1921,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,950.0,5772,4891,29,554,256,30,12,2955,2817,1132,5772,852,0.14761,0.09598,0.04435,0.0052,0.00502,0.84737,0.4621,1.0,1.049,5.1,6.08,8.6608,1.8043,0.2707
1926,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,950.0,5954,4949,30,634,292,34,15,3048,2906,1167,5954,975,0.16376,0.10648,0.04904,0.00571,0.00504,0.83121,0.4606,1.0,1.0489,5.1,6.27,8.6918,1.8354,0.2953
1931,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,950.0,6646,5393,33,793,366,43,18,3403,3243,1303,6646,1220,0.18357,0.11932,0.05507,0.00647,0.00497,0.81147,0.4615,1.0,1.0493,5.1,7.0,8.8018,1.9453,0.3242
1936,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,950.0,7190,5713,40,934,431,50,22,3681,3509,1410,7190,1437,0.19986,0.1299,0.05994,0.00695,0.00556,0.79458,0.4615,1.0,1.049,5.1,7.57,8.8804,2.024,0.3481
1946,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,950.0,8907,6966,49,1230,568,66,28,4560,4347,1746,8907,1892,0.21242,0.13809,0.06377,0.00741,0.0055,0.78208,0.4618,1.0,1.049,5.1,9.38,9.0946,2.2381,0.3651
1956,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,TN_CC_SOUSSE,36.1333,10.3833,950.0,10429,8032,50,1526,704,82,35,5340,5089,2045,10429,2347,0.22505,0.14632,0.0675,0.00786,0.00479,0.77016,0.4613,1.0,1.0493,5.1,10.98,9.2523,2.3959,0.3808
1921,HSU_GABES,Gabès Littoral,قابس,South,TN_CC_GABES,33.8815,10.0982,7100.0,47623,43548,1400,1454,1082,98,41,24383,23240,9338,11545,2675,0.05617,0.03053,0.02272,0.00206,0.0294,0.91443,0.7442,0.24242,1.0492,5.1,6.71,10.7711,1.9032,0.1615
1926,HSU_GABES,Gabès Littoral,قابس,South,TN_CC_GABES,33.8815,10.0982,7100.0,49118,44613,1444,1663,1238,111,49,25148,23970,9631,11907,3061,0.06232,0.03386,0.0252,0.00226,0.0294,0.90828,0.7444,0.24242,1.0491,5.1,6.92,10.802,1.9341,0.1724
1931,HSU_GABES,Gabès Littoral,قابس,South,TN_CC_GABES,33.8815,10.0982,7100.0,54826,49385,1611,2081,1549,140,60,28071,26755,10750,13291,3830,0.06986,0.03796,0.02825,0.00255,0.02938,0.90076,0.7444,0.24242,1.0492,5.1,7.72,10.9119,2.0441,0.1855
1936,HSU_GABES,Gabès Littoral,قابس,South,TN_CC_GABES,33.8815,10.0982,7100.0,59321,52893,1918,2451,1824,165,70,30372,28949,11632,14381,4510,0.07603,0.04132,0.03075,0.00278,0.03233,0.89164,0.7442,0.24243,1.0492,5.1,8.36,10.9907,2.1229,0.2013
1946,HSU_GABES,Gabès Littoral,قابس,South,TN_CC_GABES,33.8815,10.0982,7100.0,73482,65423,2376,3094,2294,206,89,37623,35859,14408,17814,5683,0.07734,0.04211,0.03122,0.0028,0.03233,0.89033,0.7414,0.24243,1.0492,5.1,10.35,11.2048,2.3369,0.2035
1956,HSU_GABES,Gabès Littoral,قابس,South,TN_CC_GABES,33.8815,10.0982,7100.0,86040,76794,2402,3731,2759,248,106,44052,41988,16871,20858,6844,0.07954,0.04336,0.03207,0.00288,0.02792,0.89254,0.7395,0.24242,1.0492,5.1,12.12,11.3626,2.4947,0.1997
1921,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,TN_CC_GAFSA,34.425,8.7842,6500.0,56282,50751,1105,2107,2084,164,71,28816,27466,11036,24534,4426,0.07864,0.03744,0.03703,0.00291,0.01963,0.90173,0.9891,0.43591,1.0492,5.1,8.66,10.9381,2.1586,0.1837
1926,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,TN_CC_GAFSA,34.425,8.7842,6500.0,58049,51843,1140,2413,2386,188,79,29721,28328,11382,25304,5066,0.08727,0.04157,0.0411,0.00324,0.01964,0.89309,0.9888,0.43591,1.0492,5.1,8.93,10.969,2.1895,0.1986
1931,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,TN_CC_GAFSA,34.425,8.7842,6500.0,64794,57184,1272,3018,2985,234,101,33175,31619,12706,28243,6338,0.09782,0.04658,0.04607,0.00361,0.01963,0.88255,0.9891,0.43589,1.0492,5.1,9.97,11.079,2.2994,0.2164
1936,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,TN_CC_GAFSA,34.425,8.7842,6500.0,70107,61129,1515,3553,3515,277,118,35894,34213,13746,30560,7463,0.10645,0.05068,0.05014,0.00395,0.02161,0.87194,0.9893,0.43591,1.0491,5.1,10.79,11.1578,2.3782,0.2342
1946,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,TN_CC_GAFSA,34.425,8.7842,6500.0,86842,75364,1876,4567,4527,356,152,44463,42379,17028,37854,9602,0.11057,0.05259,0.05213,0.0041,0.0216,0.86783,0.9912,0.4359,1.0492,5.1,13.36,11.3718,2.5923,0.2409
1956,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,TN_CC_GAFSA,34.425,8.7842,6500.0,101684,88057,1897,5574,5534,436,186,52062,49622,19937,44324,11730,0.11536,0.05482,0.05442,0.00429,0.01866,0.86599,0.9928,0.4359,1.0492,5.1,15.64,11.5296,2.7501,0.2437
1921,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,800.0,25976,25498,52,247,162,12,5,13300,12676,5093,0,426,0.0164,0.00951,0.00624,0.00046,0.002,0.9816,0.6559,0.0,1.0492,5.1,32.47,10.1649,3.4803,0.0363
1926,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,800.0,26792,26250,54,283,185,14,6,13718,13074,5253,0,488,0.01821,0.01056,0.00691,0.00052,0.00202,0.97977,0.6537,0.0,1.0493,5.1,33.49,10.1959,3.5112,0.0399
1931,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,800.0,29905,29235,60,354,232,17,7,15311,14594,5864,0,610,0.0204,0.01184,0.00776,0.00057,0.00201,0.9776,0.6554,0.0,1.0491,5.1,37.38,10.3058,3.6212,0.0441
1936,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,800.0,32357,31568,71,416,273,20,9,16567,15790,6345,0,718,0.02219,0.01286,0.00844,0.00062,0.00219,0.97562,0.6562,0.0,1.0492,5.1,40.45,10.3846,3.7,0.0479
1946,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,800.0,40081,39231,88,442,290,21,9,20521,19560,7859,0,762,0.01901,0.01103,0.00724,0.00052,0.0022,0.97879,0.6561,0.0,1.0491,5.1,50.1,10.5987,3.914,0.0418
1956,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,800.0,46931,46044,89,463,303,22,10,24029,22902,9202,0,798,0.017,0.00987,0.00646,0.00047,0.0019,0.9811,0.6544,0.0,1.0492,5.1,58.66,10.7564,4.0718,0.0373
1921,HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,4200.0,75041,72056,808,1197,871,77,32,38421,36620,14713,17317,2177,0.02901,0.01595,0.01161,0.00103,0.01077,0.96022,0.7277,0.23077,1.0492,5.1,17.87,11.2258,2.883,0.0775
1926,HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,4200.0,77398,74073,833,1370,997,87,38,39628,37770,15176,17861,2492,0.0322,0.0177,0.01288,0.00112,0.01076,0.95704,0.7277,0.23077,1.0492,5.1,18.43,11.2567,2.9139,0.0835
1931,HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,4200.0,86393,82345,930,1715,1247,109,47,44233,42160,16940,19937,3118,0.03609,0.01985,0.01443,0.00126,0.01076,0.95314,0.7271,0.23077,1.0492,5.1,20.57,11.3667,3.0238,0.0908
1936,HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,4200.0,93475,88697,1107,2019,1468,129,55,47859,45616,18329,21571,3671,0.03927,0.0216,0.0157,0.00138,0.01184,0.94888,0.7271,0.23077,1.0492,5.1,22.26,11.4454,3.1026,0.0988
1946,HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,4200.0,115788,109786,1372,2546,1852,162,70,59284,56504,22703,26720,4630,0.03999,0.02199,0.01599,0.0014,0.01185,0.94816,0.7274,0.23077,1.0492,5.1,27.57,11.6595,3.3167,0.1001
1956,HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,4200.0,135578,128612,1387,3068,2231,195,85,69416,66162,26584,31287,5579,0.04115,0.02263,0.01646,0.00144,0.01023,0.94862,0.7272,0.23077,1.0492,5.1,32.28,11.8173,3.4745,0.0992
1921,HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,2500.0,25976,25737,26,128,75,7,3,13300,12676,5093,0,213,0.0082,0.00493,0.00289,0.00027,0.001,0.9908,0.5859,0.0,1.0492,5.1,10.39,10.1649,2.3409,0.0183
1926,HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,2500.0,26792,26521,27,146,85,9,4,13718,13074,5253,0,244,0.00911,0.00545,0.00317,0.00034,0.00101,0.98989,0.5822,0.0,1.0493,5.1,10.72,10.1959,2.3718,0.0201
1931,HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,2500.0,29905,29570,30,183,107,11,4,15311,14594,5864,0,305,0.0102,0.00612,0.00358,0.00037,0.001,0.9888,0.5847,0.0,1.0491,5.1,11.96,10.3058,2.4817,0.0222
1936,HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,2500.0,32357,31962,36,215,126,13,5,16567,15790,6345,0,359,0.01109,0.00664,0.00389,0.0004,0.00111,0.98779,0.586,0.0,1.0492,5.1,12.94,10.3846,2.5605,0.0242
1946,HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,2500.0,40081,39656,44,229,133,13,6,20521,19560,7859,0,381,0.00951,0.00571,0.00332,0.00032,0.0011,0.9894,0.5808,0.0,1.0491,5.1,16.03,10.5987,2.7746,0.021
1956,HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,2500.0,46931,46487,45,239,140,14,6,24029,22902,9202,0,399,0.0085,0.00509,0.00298,0.0003,0.00096,0.99054,0.5858,0.0,1.0492,5.1,18.77,10.7564,2.9324,0.0188
