census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_total,num_households,total_dwellings_enumerated,masonry_houses_urban,rural_gourbis,nomadic_tents,troglodytic_dwellings,share_masonry_dwellings,share_rural_gourbis,share_nomadic_tents,share_troglodytic_dwellings,avg_persons_per_dwelling
1936,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,50333,9869,9474,3032,5684,758,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,48535,9517,9136,2924,5482,731,-1,0.3201,0.6,0.08,-0.0001,5.31
1936,HSU_THALA,Thala,تالة,Center-West,50333,9869,9474,3032,5684,758,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,39547,7754,7444,2382,4466,596,0,0.32,0.5999,0.0801,0.0,5.31
1936,HSU_KASSERINE,Kasserine,القصرين,Center-West,32357,6345,6091,914,2741,2315,121,0.1501,0.45,0.3801,0.0199,5.31
1936,HSU_SFAX,Sfax,صفاقس,South,129427,25378,24363,19003,4385,975,0,0.78,0.18,0.04,0.0,5.31
1936,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,46738,9164,8797,2815,5278,704,0,0.32,0.6,0.08,0.0,5.31
1936,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,39547,7754,7444,2382,4466,596,0,0.32,0.5999,0.0801,0.0,5.31
1936,HSU_KERKENNAH,Kerkennah,قرقنة,South,14381,2820,2707,866,1624,217,0,0.3199,0.5999,0.0802,0.0,5.31
1936,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,70107,13746,13196,1979,5938,5014,265,0.15,0.45,0.38,0.0201,5.31
1936,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,50333,9869,9474,1421,4263,3600,190,0.15,0.45,0.38,0.0201,5.31
1936,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,35952,7049,6767,2165,4060,541,1,0.3199,0.6,0.0799,0.0001,5.31
1936,HSU_GABES,Gabès Littoral,قابس,South,59321,11632,11167,2233,3908,2010,3016,0.2,0.35,0.18,0.2701,5.31
1936,HSU_DJERBA,Djerba,جربة,South,55726,10926,10489,3356,6293,839,1,0.32,0.6,0.08,0.0001,5.31
1936,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,86285,16918,16241,3248,5684,2923,4386,0.2,0.35,0.18,0.2701,5.31
1936,HSU_TATAOUINE,Tataouine,تطاوين,South,35952,7049,6767,1353,2368,1218,1828,0.1999,0.3499,0.18,0.2701,5.31
1936,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,48535,9517,9136,1370,4111,3472,183,0.15,0.45,0.38,0.02,5.31
1936,HSU_MATMATA,Matmata,مطماطة,South,17976,3525,3384,677,1184,609,914,0.2001,0.3499,0.18,0.2701,5.31
