loc_id,locality_name_fr,locality_name_ar,hsu_id,region_macro,latitude,longitude,census_year,census_date,pop_jewish_total,pop_jewish_tunisian_twansa,pop_jewish_french_naturalized,pop_jewish_italian_grana,pop_jewish_other_foreign,pop_jewish_male,pop_jewish_female,sex_ratio,jewish_households,avg_persons_per_household,active_labor_force_jewish,synagogues_count,rabbinical_court_beit_din,aiu_schools_present,aiu_pupils_enrolled,economic_specialization,data_source_citation
TN_JEW_MEDJEZ_EL_BAB,Medjez el-Bab,مجاز الباب,HSU_BEJA,North-West,36.6497,9.6108,1936,1936-03-12,310,275,25,8,2,153,157,0.975,65,4.77,118,1,0,0,0,"Commerce céréalier, minoterie, quincaillerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_TESTOUR,Testour,تستور,HSU_BEJA,North-West,36.5542,9.4456,1936,1936-03-12,270,248,15,5,2,134,136,0.985,57,4.74,103,1,0,0,0,"Horticulture morisque, artisanat, commerce","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_SOUK_EL_ARBA,Souk el-Arba (Jendouba),سوق الأربعاء (جندوبة),HSU_JENDOUBA,North-West,36.5011,8.7803,1936,1936-03-12,390,340,35,12,3,193,197,0.98,82,4.76,148,1,0,0,0,"Marché agricole, cuirs, bois de chêne-liège","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_TABARKA,Tabarka,طبرقة,HSU_JENDOUBA,North-West,36.9544,8.7581,1936,1936-03-12,130,110,14,5,1,64,66,0.97,27,4.81,49,1,0,0,0,"Pêche au corail, liège, commerce frontalier","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_LE_KEF,Le Kef,الكاف,HSU_LE_KEF,North-West,36.1822,8.7147,1936,1936-03-12,960,860,68,24,8,475,485,0.979,202,4.75,365,3,1,1,160,"Horlogerie, orfèvrerie, confection, négoce transfrontalier","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_TEBOURSOUK,Téboursouk,تبرسق,HSU_TEBOURSOUK,North-West,36.4578,9.2483,1936,1936-03-12,190,172,12,5,1,94,96,0.979,40,4.75,72,1,0,0,0,"Oléiculture, commerce de semences","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_ZAGHOUAN,Zaghouan,زغوان,HSU_ZAGHOUAN,North-West,36.4028,10.1428,1936,1936-03-12,185,165,14,5,1,92,93,0.989,39,4.74,70,1,0,0,0,"Meunerie, commerce des eaux, mercerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_SOUSSE,Sousse,سوسة,HSU_SOUSSE,Sahel/Center-East,35.8256,10.6369,1936,1936-03-12,3920,3210,480,190,40,1940,1980,0.98,825,4.75,1490,5,1,1,460,"Négoce de l'huile d'olive, tissus, savonnerie, transit portuaire","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_MONASTIR,Monastir,المنستير,HSU_MONASTIR,Sahel/Center-East,35.7778,10.8261,1936,1936-03-12,210,190,15,4,1,104,106,0.981,44,4.77,80,1,0,0,0,"Tissage de la soie, commerce de gros","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_MAHDIA,Mahdia,المهدية,HSU_MAHDIA,Sahel/Center-East,35.5047,11.0622,1936,1936-03-12,540,480,42,14,4,267,273,0.978,114,4.74,205,2,0,1,95,"Tissage soie et laine, huile d'olive, pêche","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_MOKNINE,Moknine,مكنين,HSU_MOKNINE,Sahel/Center-East,35.6267,10.9022,1936,1936-03-12,880,840,25,12,3,436,444,0.982,185,4.76,334,3,0,1,130,"Orfèvrerie argent et or, bijouterie bédouine, forge","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_KAIROUAN,Kairouan,القيروان,HSU_KAIROUAN,Center-West,35.6781,10.0964,1936,1936-03-12,460,415,30,12,3,228,232,0.983,97,4.74,175,2,0,0,0,"Négoce des tapis kairouanais, cuirs, draperie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_SFAX,Sfax,صفاقس,HSU_SFAX,Sahel/Center-East,34.7406,10.7603,1936,1936-03-12,4150,3620,380,120,30,2054,2096,0.98,874,4.75,1577,6,1,1,520,"Oléiculture, éponges des Kerkennah, commerce d'exportation","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_GAFSA,Gafsa,قفصة,HSU_GAFSA,Center-West,34.425,8.7842,1936,1936-03-12,790,745,30,12,3,391,399,0.98,166,4.76,300,2,1,1,110,"Commerce d'oasis, tapis de Gafsa, approvisionnement des mines","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_SBEITLA,Sbeïtla,سبيطلة,HSU_KASSERINE,Center-West,35.2333,9.1333,1936,1936-03-12,85,78,5,2,0,42,43,0.977,18,4.72,32,1,0,0,0,"Commerce de l'alfa, laine, grains","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_SIDI_BOUZID,Sidi Bouzid,سيدي بوزيد,HSU_SIDI_BOUZID,Center-West,35.0381,9.4858,1936,1936-03-12,65,60,4,1,0,32,33,0.97,14,4.64,25,1,0,0,0,"Commerce pastoral, peaux, quincaillerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_GABES_JARA,Gabès (Jara),قابس (جارة),HSU_GABES,South,33.8815,10.0982,1936,1936-03-12,1850,1780,45,20,5,916,934,0.981,389,4.76,703,4,1,1,230,"Commerce de dattes et de henné, vannerie, bijouterie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_GABES_MENZEL,Gabès (Menzel),قابس (منزل),HSU_GABES,South,33.872,10.105,1936,1936-03-12,820,790,20,8,2,406,414,0.981,173,4.74,312,2,0,0,0,"Commerce de marché, épices, mercerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_TOZEUR,Tozeur,توزر,HSU_TOZEUR,South,33.9197,8.1336,1936,1936-03-12,210,198,8,3,1,104,106,0.981,44,4.77,80,1,0,0,0,"Dattes Deglet Nour, négoce saharien, tissage","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_NEFTA,Nefta,نفطة,HSU_TOZEUR,South,33.8731,7.8778,1936,1936-03-12,175,168,5,2,0,87,88,0.989,37,4.73,66,1,0,0,0,"Palmeraies, artisanat d'oasis, commerce caravanier","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_KEBILI,Kébili,قبلي,HSU_KEBILI,South,33.7044,8.9692,1936,1936-03-12,120,115,3,2,0,59,61,0.967,25,4.8,46,1,0,0,0,"Commerce pastoral Nefzaoua, dattes","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_DJERBA_HARA_KEBIRA,Djerba (Hara Kébira - Houmt Souk),جربة (الحارة الكبيرة),HSU_DJERBA,South,33.8767,10.855,1936,1936-03-12,3120,3090,18,10,2,1544,1576,0.98,657,4.75,1186,11,1,1,390,"Orfèvrerie filigrane argent, commerce textile, cordonnerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_DJERBA_HARA_SGHIRA,Djerba (Hara Sghira / Er-Riadh - Ghriba),جربة (الحارة الصغيرة / الرياض),HSU_DJERBA,South,33.8156,10.8589,1936,1936-03-12,1310,1302,5,3,0,648,662,0.979,276,4.75,498,5,1,0,0,"Gardiens de la Ghriba, scribes liturgiques, commerce pieux","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_ZARZIS,Zarzis,جرجيس,HSU_MEDENINE,South,33.5042,11.1122,1936,1936-03-12,1040,1015,15,8,2,515,525,0.981,219,4.75,395,3,1,1,140,"Pêche aux éponges, huile d'olive, bijouterie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_BEN_GARDANE,Ben Gardane,بن قردان,HSU_MEDENINE,South,33.1389,11.2167,1936,1936-03-12,390,380,6,3,1,193,197,0.98,82,4.76,148,1,0,0,0,"Commerce caravanier tripolitain, laines, orfèvrerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_MEDENINE,Médenine,مدنين,HSU_MEDENINE,South,33.3547,10.5053,1936,1936-03-12,340,332,5,2,1,168,172,0.977,72,4.72,129,1,0,0,0,"Ghorfas, approvisionnement des troupes sahariennes","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_TATAOUINE,Tataouine,تطاوين,HSU_TATAOUINE,South,32.9297,10.4517,1936,1936-03-12,440,430,6,3,1,218,222,0.982,93,4.73,167,2,0,0,0,"Commerce du ksar, caravanes sahariennes, mercerie","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
TN_JEW_MATMATA,Matmata,مطماطة,HSU_MATMATA,South,33.5439,9.9678,1936,1936-03-12,110,106,2,2,0,54,56,0.964,23,4.78,42,1,0,0,0,"Habitations troglodytiques, commerce pastoral","Direction générale des Finances, Dénombrement de la population tunisienne (musulmane et israélite) au 12 mars 1936, Tunis, 1937 (ark:/12148/bpt6k91056547)"
