census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_european_total,pop_french,pop_italian,pop_maltese,pop_other_european,ratio_italian_to_french,data_scope
1946,HSU_BEJA,Béja,باجة,North-West,7266,4219,2684,255,108,0.6362,General Census (Simultaneous)
1956,HSU_BEJA,Béja,باجة,North-West,8584,4954,3201,300,129,0.6461,General Census (Simultaneous)
1891,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,4477,1156,2174,1021,126,1.8806,European Census Only
1896,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,8758,1878,5666,1043,171,3.017,European Census Only
1901,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,11645,2804,7376,1227,238,2.6305,European Census Only
1906,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,11937,3488,7270,918,261,2.0843,European Census Only
1911,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,13825,4640,7890,1005,290,1.7004,European Census Only
1921,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,14129,7404,5948,544,233,0.8033,General Census (Simultaneous)
1926,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,16172,8475,6807,623,267,0.8032,General Census (Simultaneous)
1931,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,20233,10603,8517,780,333,0.8033,General Census (Simultaneous)
1936,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,23824,12484,10028,918,394,0.8033,General Census (Simultaneous)
1946,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,31116,16337,13065,1199,515,0.7997,General Census (Simultaneous)
1956,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,38392,20183,16093,1480,636,0.7974,General Census (Simultaneous)
1891,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,1207,218,752,205,32,3.4495,European Census Only
1896,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,2565,354,1958,209,44,5.5311,European Census Only
1901,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,3386,529,2550,246,61,4.8204,European Census Only
1906,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,3422,658,2513,184,67,3.8191,European Census Only
1911,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,3877,875,2727,201,74,3.1166,European Census Only
1921,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,3609,1396,2056,109,48,1.4728,General Census (Simultaneous)
1926,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,4131,1598,2353,126,54,1.4725,General Census (Simultaneous)
1931,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,5168,2000,2944,157,67,1.472,General Census (Simultaneous)
1936,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,6086,2355,3467,185,79,1.4722,General Census (Simultaneous)
1946,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,6990,2712,3971,215,92,1.4642,General Census (Simultaneous)
1956,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,7854,3053,4453,244,104,1.4586,General Census (Simultaneous)
1891,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,163,45,77,35,6,1.7111,European Census Only
1896,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,317,73,200,35,9,2.7397,European Census Only
1901,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,423,109,260,42,12,2.3853,European Census Only
1906,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,586,184,347,42,13,1.8859,European Census Only
1911,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,683,245,377,46,15,1.5388,European Census Only
1921,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,710,391,284,25,10,0.7263,General Census (Simultaneous)
1926,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,813,447,325,28,13,0.7271,General Census (Simultaneous)
1931,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,1017,559,407,36,15,0.7281,General Census (Simultaneous)
1936,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,1197,658,479,42,18,0.728,General Census (Simultaneous)
1946,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,1269,698,508,44,19,0.7278,General Census (Simultaneous)
1956,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,1330,732,532,47,19,0.7268,General Census (Simultaneous)
1891,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,76,16,42,15,3,2.625,European Census Only
1896,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,154,26,108,16,4,4.1538,European Census Only
1901,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,203,39,141,18,5,3.6154,European Census Only
1906,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,278,65,188,19,6,2.8923,European Census Only
1911,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,317,87,204,20,6,2.3448,European Census Only
1921,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,308,139,154,11,4,1.1079,General Census (Simultaneous)
1926,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,352,158,176,12,6,1.1139,General Census (Simultaneous)
1931,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,441,198,220,15,8,1.1111,General Census (Simultaneous)
1936,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,519,234,260,18,7,1.1111,General Census (Simultaneous)
1946,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,550,248,275,19,8,1.1089,General Census (Simultaneous)
1956,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,576,259,288,20,9,1.112,General Census (Simultaneous)
1891,HSU_DJERBA,Djerba,جربة,South,278,63,155,50,10,2.4603,European Census Only
1896,HSU_DJERBA,Djerba,جربة,South,571,103,403,51,14,3.9126,European Census Only
1901,HSU_DJERBA,Djerba,جربة,South,758,154,524,60,20,3.4026,European Census Only
1906,HSU_DJERBA,Djerba,جربة,South,1041,259,699,61,22,2.6988,European Census Only
1911,HSU_DJERBA,Djerba,جربة,South,1193,344,759,66,24,2.2064,European Census Only
1921,HSU_DJERBA,Djerba,جربة,South,1172,549,572,36,15,1.0419,General Census (Simultaneous)
1926,HSU_DJERBA,Djerba,جربة,South,1341,628,654,41,18,1.0414,General Census (Simultaneous)
1931,HSU_DJERBA,Djerba,جربة,South,1678,785,818,51,24,1.042,General Census (Simultaneous)
1936,HSU_DJERBA,Djerba,جربة,South,1975,925,964,61,25,1.0422,General Census (Simultaneous)
1946,HSU_DJERBA,Djerba,جربة,South,2402,1128,1169,73,32,1.0363,General Census (Simultaneous)
1956,HSU_DJERBA,Djerba,جربة,South,2819,1327,1370,85,37,1.0324,General Census (Simultaneous)
1891,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,153,34,85,28,6,2.5,European Census Only
1896,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,312,55,221,28,8,4.0182,European Census Only
1901,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,415,83,288,33,11,3.4699,European Census Only
1906,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,569,139,384,34,12,2.7626,European Census Only
1911,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,652,185,417,37,13,2.2541,European Census Only
1921,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,639,296,314,20,9,1.0608,General Census (Simultaneous)
1926,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,731,339,359,23,10,1.059,General Census (Simultaneous)
1931,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,915,424,449,29,13,1.059,General Census (Simultaneous)
1936,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,1078,500,530,34,14,1.06,General Census (Simultaneous)
1946,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,1266,589,621,40,16,1.0543,General Census (Simultaneous)
1956,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,1447,674,707,45,21,1.049,General Census (Simultaneous)
1891,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,183,64,69,42,8,1.0781,European Census Only
1896,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,337,104,180,43,10,1.7308,European Census Only
1901,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,454,155,235,50,14,1.5161,European Census Only
1906,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,641,261,313,51,16,1.1992,European Census Only
1911,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,759,347,340,55,17,0.9798,European Census Only
1921,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,852,554,256,30,12,0.4621,General Census (Simultaneous)
1926,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,975,634,292,34,15,0.4606,General Census (Simultaneous)
1931,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,1220,793,366,43,18,0.4615,General Census (Simultaneous)
1936,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,1437,934,431,50,22,0.4615,General Census (Simultaneous)
1946,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,1892,1230,568,66,28,0.4618,General Census (Simultaneous)
1956,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,2347,1526,704,82,35,0.4613,General Census (Simultaneous)
1891,HSU_GABES,Gabès Littoral,قابس,South,620,168,292,136,24,1.7381,European Census Only
1896,HSU_GABES,Gabès Littoral,قابس,South,1206,273,762,139,32,2.7912,European Census Only
1901,HSU_GABES,Gabès Littoral,قابس,South,1607,407,992,163,45,2.4373,European Census Only
1906,HSU_GABES,Gabès Littoral,قابس,South,2222,685,1322,165,50,1.9299,European Census Only
1911,HSU_GABES,Gabès Littoral,قابس,South,2582,911,1435,181,55,1.5752,European Census Only
1921,HSU_GABES,Gabès Littoral,قابس,South,2675,1454,1082,98,41,0.7442,General Census (Simultaneous)
1926,HSU_GABES,Gabès Littoral,قابس,South,3061,1663,1238,111,49,0.7444,General Census (Simultaneous)
1931,HSU_GABES,Gabès Littoral,قابس,South,3830,2081,1549,140,60,0.7444,General Census (Simultaneous)
1936,HSU_GABES,Gabès Littoral,قابس,South,4510,2451,1824,165,70,0.7442,General Census (Simultaneous)
1946,HSU_GABES,Gabès Littoral,قابس,South,5683,3094,2294,206,89,0.7414,General Census (Simultaneous)
1956,HSU_GABES,Gabès Littoral,قابس,South,6844,3731,2759,248,106,0.7395,General Census (Simultaneous)
1891,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,1074,243,563,228,40,2.3169,European Census Only
1896,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,2148,395,1467,232,54,3.7139,European Census Only
1901,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,2847,590,1910,273,74,3.2373,European Census Only
1906,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,3898,992,2547,277,82,2.5675,European Census Only
1911,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,4479,1320,2765,303,91,2.0947,European Census Only
1921,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,4426,2107,2084,164,71,0.9891,General Census (Simultaneous)
1926,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,5066,2413,2386,188,79,0.9888,General Census (Simultaneous)
1931,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,6338,3018,2985,234,101,0.9891,General Census (Simultaneous)
1936,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,7463,3553,3515,277,118,0.9893,General Census (Simultaneous)
1946,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,9602,4567,4527,356,152,0.9912,General Census (Simultaneous)
1956,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,11730,5574,5534,436,186,0.9928,General Census (Simultaneous)
1891,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,93,28,44,17,4,1.5714,European Census Only
1896,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,182,46,114,17,5,2.4783,European Census Only
1901,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,244,69,148,20,7,2.1449,European Census Only
1906,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,342,116,198,20,8,1.7069,European Census Only
1911,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,401,155,215,22,9,1.3871,European Census Only
1921,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,426,247,162,12,5,0.6559,General Census (Simultaneous)
1926,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,488,283,185,14,6,0.6537,General Census (Simultaneous)
1931,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,610,354,232,17,7,0.6554,General Census (Simultaneous)
1936,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,718,416,273,20,9,0.6562,General Census (Simultaneous)
1946,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,762,442,290,21,9,0.6561,General Census (Simultaneous)
1956,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,798,463,303,22,10,0.6544,General Census (Simultaneous)
1891,HSU_KAIROUAN,Kairouan,القيروان,Center-West,499,138,235,107,19,1.7029,European Census Only
1896,HSU_KAIROUAN,Kairouan,القيروان,Center-West,972,224,613,109,26,2.7366,European Census Only
1901,HSU_KAIROUAN,Kairouan,القيروان,Center-West,1298,335,798,128,37,2.3821,European Census Only
1906,HSU_KAIROUAN,Kairouan,القيروان,Center-West,1799,564,1065,130,40,1.8883,European Census Only
1911,HSU_KAIROUAN,Kairouan,القيروان,Center-West,2092,750,1155,142,45,1.54,European Census Only
1921,HSU_KAIROUAN,Kairouan,القيروان,Center-West,2177,1197,871,77,32,0.7277,General Census (Simultaneous)
1926,HSU_KAIROUAN,Kairouan,القيروان,Center-West,2492,1370,997,87,38,0.7277,General Census (Simultaneous)
1931,HSU_KAIROUAN,Kairouan,القيروان,Center-West,3118,1715,1247,109,47,0.7271,General Census (Simultaneous)
1936,HSU_KAIROUAN,Kairouan,القيروان,Center-West,3671,2019,1468,129,55,0.7271,General Census (Simultaneous)
1946,HSU_KAIROUAN,Kairouan,القيروان,Center-West,4630,2546,1852,162,70,0.7274,General Census (Simultaneous)
1956,HSU_KAIROUAN,Kairouan,القيروان,Center-West,5579,3068,2231,195,85,0.7272,General Census (Simultaneous)
1891,HSU_KASSERINE,Kasserine,القصرين,Center-West,47,15,20,10,2,1.3333,European Census Only
1896,HSU_KASSERINE,Kasserine,القصرين,Center-West,90,24,53,10,3,2.2083,European Census Only
1901,HSU_KASSERINE,Kasserine,القصرين,Center-West,121,36,69,12,4,1.9167,European Census Only
1906,HSU_KASSERINE,Kasserine,القصرين,Center-West,168,60,92,12,4,1.5333,European Census Only
1911,HSU_KASSERINE,Kasserine,القصرين,Center-West,196,80,99,13,4,1.2375,European Census Only
1921,HSU_KASSERINE,Kasserine,القصرين,Center-West,213,128,75,7,3,0.5859,General Census (Simultaneous)
1926,HSU_KASSERINE,Kasserine,القصرين,Center-West,244,146,85,9,4,0.5822,General Census (Simultaneous)
1931,HSU_KASSERINE,Kasserine,القصرين,Center-West,305,183,107,11,4,0.5847,General Census (Simultaneous)
1936,HSU_KASSERINE,Kasserine,القصرين,Center-West,359,215,126,13,5,0.586,General Census (Simultaneous)
1946,HSU_KASSERINE,Kasserine,القصرين,Center-West,381,229,133,13,6,0.5808,General Census (Simultaneous)
1956,HSU_KASSERINE,Kasserine,القصرين,Center-West,399,239,140,14,6,0.5858,General Census (Simultaneous)
1891,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,26,8,11,6,1,1.375,European Census Only
1896,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,49,13,29,6,1,2.2308,European Census Only
1901,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,67,20,38,7,2,1.9,European Census Only
1906,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,92,33,50,7,2,1.5152,European Census Only
1911,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,107,44,54,7,2,1.2273,European Census Only
1921,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,117,70,41,4,2,0.5857,General Census (Simultaneous)
1926,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,135,81,48,5,1,0.5926,General Census (Simultaneous)
1931,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,168,101,58,5,4,0.5743,General Census (Simultaneous)
1936,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,198,119,69,7,3,0.5798,General Census (Simultaneous)
1946,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,210,126,74,8,2,0.5873,General Census (Simultaneous)
1956,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,219,132,77,8,2,0.5833,General Census (Simultaneous)
1891,HSU_KERKENNAH,Kerkennah,قرقنة,South,12,2,7,3,0,3.5,European Census Only
1896,HSU_KERKENNAH,Kerkennah,قرقنة,South,26,4,18,3,1,4.5,European Census Only
1901,HSU_KERKENNAH,Kerkennah,قرقنة,South,33,5,24,3,1,4.8,European Census Only
1906,HSU_KERKENNAH,Kerkennah,قرقنة,South,45,9,32,3,1,3.5556,European Census Only
1911,HSU_KERKENNAH,Kerkennah,قرقنة,South,51,12,34,4,1,2.8333,European Census Only
1921,HSU_KERKENNAH,Kerkennah,قرقنة,South,47,19,26,2,0,1.3684,General Census (Simultaneous)
1926,HSU_KERKENNAH,Kerkennah,قرقنة,South,54,22,30,2,0,1.3636,General Census (Simultaneous)
1931,HSU_KERKENNAH,Kerkennah,قرقنة,South,68,27,37,2,2,1.3704,General Census (Simultaneous)
1936,HSU_KERKENNAH,Kerkennah,قرقنة,South,80,32,44,3,1,1.375,General Census (Simultaneous)
1946,HSU_KERKENNAH,Kerkennah,قرقنة,South,85,34,47,3,1,1.3824,General Census (Simultaneous)
1956,HSU_KERKENNAH,Kerkennah,قرقنة,South,89,36,49,3,1,1.3611,General Census (Simultaneous)
1891,HSU_LE_KEF,Le Kef,الكاف,North-West,515,148,236,111,20,1.5946,European Census Only
1896,HSU_LE_KEF,Le Kef,الكاف,North-West,997,241,615,113,28,2.5519,European Census Only
1901,HSU_LE_KEF,Le Kef,الكاف,North-West,1331,360,800,133,38,2.2222,European Census Only
1906,HSU_LE_KEF,Le Kef,الكاف,North-West,1849,605,1067,135,42,1.7636,European Census Only
1911,HSU_LE_KEF,Le Kef,الكاف,North-West,2158,805,1158,148,47,1.4385,European Census Only
1921,HSU_LE_KEF,Le Kef,الكاف,North-West,2272,1285,873,80,34,0.6794,General Census (Simultaneous)
1926,HSU_LE_KEF,Le Kef,الكاف,North-West,2601,1471,1000,91,39,0.6798,General Census (Simultaneous)
1931,HSU_LE_KEF,Le Kef,الكاف,North-West,3254,1840,1251,114,49,0.6799,General Census (Simultaneous)
1936,HSU_LE_KEF,Le Kef,الكاف,North-West,3831,2167,1473,134,57,0.6797,General Census (Simultaneous)
1946,HSU_LE_KEF,Le Kef,الكاف,North-West,4737,2668,1831,165,73,0.6863,General Census (Simultaneous)
1956,HSU_LE_KEF,Le Kef,الكاف,North-West,5632,3164,2186,198,84,0.6909,General Census (Simultaneous)
1891,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,491,99,270,104,18,2.7273,European Census Only
1896,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,994,161,703,106,24,4.3665,European Census Only
1901,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,1314,240,916,125,33,3.8167,European Census Only
1906,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,1789,405,1221,127,36,3.0148,European Census Only
1911,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,2042,538,1325,139,40,2.4628,European Census Only
1921,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,1964,859,999,75,31,1.163,General Census (Simultaneous)
1926,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,2248,983,1143,86,36,1.1628,General Census (Simultaneous)
1931,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,2813,1230,1431,107,45,1.1634,General Census (Simultaneous)
1936,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,3313,1449,1684,126,54,1.1622,General Census (Simultaneous)
1946,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,4003,1757,2031,150,65,1.1559,General Census (Simultaneous)
1956,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,4680,2059,2371,175,75,1.1515,General Census (Simultaneous)
1891,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,249,73,117,49,10,1.6027,European Census Only
1896,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,486,118,305,50,13,2.5847,European Census Only
1901,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,650,176,397,58,19,2.2557,European Census Only
1906,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,906,297,529,59,21,1.7811,European Census Only
1911,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,1057,395,574,65,23,1.4532,European Census Only
1921,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,1113,630,433,35,15,0.6873,General Census (Simultaneous)
1926,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,1273,721,495,40,17,0.6865,General Census (Simultaneous)
1931,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,1593,901,620,50,22,0.6881,General Census (Simultaneous)
1936,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,1876,1062,730,59,25,0.6874,General Census (Simultaneous)
1946,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,2214,1250,864,70,30,0.6912,General Census (Simultaneous)
1956,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,2542,1432,995,81,34,0.6948,General Census (Simultaneous)
1891,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,484,126,239,100,19,1.8968,European Census Only
1896,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,954,205,622,102,25,3.0341,European Census Only
1901,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,1271,306,810,120,35,2.6471,European Census Only
1906,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,1756,515,1080,122,39,2.0971,European Census Only
1911,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,2034,685,1173,133,43,1.7124,European Census Only
1921,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,2082,1093,884,72,33,0.8088,General Census (Simultaneous)
1926,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,2384,1252,1013,84,35,0.8091,General Census (Simultaneous)
1931,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,2982,1566,1267,104,45,0.8091,General Census (Simultaneous)
1936,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,3512,1844,1492,122,54,0.8091,General Census (Simultaneous)
1946,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,4174,2180,1785,146,63,0.8188,General Census (Simultaneous)
1956,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,4818,2506,2071,168,73,0.8264,General Census (Simultaneous)
1891,HSU_MATMATA,Matmata,مطماطة,South,8,3,4,1,0,1.3333,European Census Only
1896,HSU_MATMATA,Matmata,مطماطة,South,14,4,9,1,0,2.25,European Census Only
1901,HSU_MATMATA,Matmata,مطماطة,South,21,6,12,2,1,2.0,European Census Only
1906,HSU_MATMATA,Matmata,مطماطة,South,29,10,16,2,1,1.6,European Census Only
1911,HSU_MATMATA,Matmata,مطماطة,South,34,14,17,2,1,1.2143,European Census Only
1921,HSU_MATMATA,Matmata,مطماطة,South,36,22,13,1,0,0.5909,General Census (Simultaneous)
