hsu_id,hsu_name_fr,hsu_name_ar,region_macro,historical_controle_civil,centroid_lat,centroid_lon,area_km2,pop_total_1921,share_european_1921,share_french_1921,share_italian_1921,share_jewish_1921,pop_density_1921,urbanization_rate_1921,pop_total_1926,share_european_1926,share_french_1926,share_italian_1926,share_jewish_1926,pop_density_1926,urbanization_rate_1926,pop_total_1931,share_european_1931,share_french_1931,share_italian_1931,share_jewish_1931,pop_density_1931,urbanization_rate_1931,pop_total_1936,share_european_1936,share_french_1936,share_italian_1936,share_jewish_1936,pop_density_1936,urbanization_rate_1936,pop_total_1946,share_european_1946,share_french_1946,share_italian_1946,share_jewish_1946,pop_density_1946,urbanization_rate_1946,pop_total_1956,share_european_1956,share_french_1956,share_italian_1956,share_jewish_1956,pop_density_1956,urbanization_rate_1956,growth_pop_1921_1936,growth_pop_1936_1956,delta_share_eur_1921_1936
HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,TN_CC_GAFSA,34.425,8.7842,6500.0,56282,0.07864,0.03744,0.03703,0.01963,8.66,0.43591,58049,0.08727,0.04157,0.0411,0.01964,8.93,0.43591,64794,0.09782,0.04658,0.04607,0.01963,9.97,0.43589,70107,0.10645,0.05068,0.05014,0.02161,10.79,0.43591,86842,0.11057,0.05259,0.05213,0.0216,13.36,0.4359,101684,0.11536,0.05482,0.05442,0.01866,15.64,0.4359,24.56,45.04,0.0278
HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,TN_CC_SOUK_EL_ARBA,36.45,8.44,800.0,25976,0.0164,0.00951,0.00624,0.002,32.47,0.0,26792,0.01821,0.01056,0.00691,0.00202,33.49,0.0,29905,0.0204,0.01184,0.00776,0.00201,37.38,0.0,32357,0.02219,0.01286,0.00844,0.00219,40.45,0.0,40081,0.01901,0.01103,0.00724,0.0022,50.1,0.0,46931,0.017,0.00987,0.00646,0.0019,58.66,0.0,24.56,45.04,0.0058
HSU_KAIROUAN,Kairouan,القيروان,Center-West,TN_CC_KAIROUAN,35.6781,10.0963,4200.0,75041,0.02901,0.01595,0.01161,0.01077,17.87,0.23077,77398,0.0322,0.0177,0.01288,0.01076,18.43,0.23077,86393,0.03609,0.01985,0.01443,0.01076,20.57,0.23077,93475,0.03927,0.0216,0.0157,0.01184,22.26,0.23077,115788,0.03999,0.02199,0.01599,0.01185,27.57,0.23077,135578,0.04115,0.02263,0.01646,0.01023,32.28,0.23077,24.57,45.04,0.0103
HSU_KASSERINE,Kasserine,القصرين,Center-West,TN_CC_THALA,35.1667,8.8333,2500.0,25976,0.0082,0.00493,0.00289,0.001,10.39,0.0,26792,0.00911,0.00545,0.00317,0.00101,10.72,0.0,29905,0.0102,0.00612,0.00358,0.001,11.96,0.0,32357,0.01109,0.00664,0.00389,0.00111,12.94,0.0,40081,0.00951,0.00571,0.00332,0.0011,16.03,0.0,46931,0.0085,0.00509,0.00298,0.00096,18.77,0.0,24.56,45.04,0.0029
HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,TN_TERR_SUD,33.7044,8.9692,22000.0,38964,0.003,0.0018,0.00105,0.00321,1.77,0.0,40187,0.00336,0.00202,0.00119,0.00323,1.83,0.0,44858,0.00375,0.00225,0.00129,0.00323,2.04,0.0,48535,0.00408,0.00245,0.00142,0.00354,2.21,0.0,60121,0.00349,0.0021,0.00123,0.00354,2.73,0.0,70396,0.00311,0.00188,0.00109,0.00307,3.2,0.0,24.56,45.04,0.0011
HSU_KERKENNAH,Kerkennah,قرقنة,South,TN_CC_SFAX,34.7333,11.2167,160.0,11545,0.00407,0.00165,0.00225,0.00104,72.16,0.0,11907,0.00454,0.00185,0.00252,0.00101,74.42,0.0,13291,0.00512,0.00203,0.00278,0.00098,83.07,0.0,14381,0.00556,0.00223,0.00306,0.00111,89.88,0.0,17814,0.00477,0.00191,0.00264,0.00112,111.34,0.0,20858,0.00427,0.00173,0.00235,0.00096,130.36,0.0,24.56,45.04,0.0015
HSU_LE_KEF,Le Kef,الكاف,North-West,TN_CC_LE_KEF,36.1742,8.7047,1900.0,51952,0.04373,0.02473,0.0168,0.01166,27.34,0.16667,53584,0.04854,0.02745,0.01866,0.01168,28.2,0.16667,59810,0.05441,0.03076,0.02092,0.01165,31.48,0.16666,64714,0.0592,0.03349,0.02276,0.01283,34.06,0.16667,80161,0.05909,0.03328,0.02284,0.01284,42.19,0.16666,93863,0.06,0.03371,0.02329,0.01108,49.4,0.16667,24.56,45.04,0.0155
HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.5047,11.0622,1600.0,59168,0.03319,0.01452,0.01688,0.00975,36.98,0.14635,61026,0.03684,0.01611,0.01873,0.00977,38.14,0.14635,68117,0.0413,0.01806,0.02101,0.00975,42.57,0.14634,73702,0.04495,0.01966,0.02285,0.01073,46.06,0.14635,91295,0.04385,0.01925,0.02225,0.01073,57.06,0.14634,106899,0.04378,0.01926,0.02218,0.00927,66.81,0.14634,24.56,45.04,0.0118
HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,TN_CC_KAIROUAN,35.85,9.2,2100.0,38964,0.02856,0.01617,0.01111,0.00334,18.55,0.07407,40188,0.03168,0.01794,0.01232,0.00333,19.14,0.07408,44858,0.03551,0.02009,0.01382,0.00332,21.36,0.07408,48535,0.03865,0.02188,0.01504,0.00367,23.11,0.07407,60121,0.03683,0.02079,0.01437,0.00366,28.63,0.07407,70397,0.03611,0.02034,0.01413,0.00317,33.52,0.07408,24.56,45.04,0.0101
HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,TN_CC_BIZERTE,37.04,9.665,1200.0,37520,0.05549,0.02913,0.02356,0.00885,31.27,0.15384,38699,0.0616,0.03235,0.02618,0.00886,32.25,0.15385,43197,0.06903,0.03625,0.02933,0.00884,36.0,0.15385,46737,0.07514,0.03945,0.03192,0.00974,38.95,0.15384,57895,0.0721,0.03765,0.03083,0.00972,48.25,0.15385,67789,0.07107,0.03697,0.03055,0.00839,56.49,0.15385,24.57,45.04,0.0197
HSU_MATMATA,Matmata,مطماطة,South,TN_TERR_SUD,33.5431,9.9675,4500.0,14431,0.00249,0.00152,0.0009,0.00097,3.21,0.0,14884,0.00275,0.00168,0.00094,0.00101,3.31,0.0,16614,0.00307,0.00187,0.00108,0.00102,3.69,0.0,17976,0.00334,0.002,0.00117,0.00111,3.99,0.0,22267,0.00283,0.00171,0.00099,0.00108,4.95,0.0,26073,0.00253,0.00153,0.00088,0.00096,5.79,0.0,24.57,45.04,0.0009
HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,TN_TERR_SUD,33.3547,10.5053,8500.0,69269,0.01597,0.00879,0.0064,0.01376,8.15,0.27083,71445,0.01772,0.00974,0.0071,0.01376,8.41,0.27084,79747,0.01986,0.01092,0.00795,0.01374,9.38,0.27083,86285,0.02163,0.01189,0.00867,0.01512,10.15,0.27084,106882,0.02214,0.01218,0.00886,0.01512,12.57,0.27083,125150,0.02289,0.01259,0.00915,0.01306,14.72,0.27083,24.57,45.04,0.0057
HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,TN_CC_BEJA,36.65,9.61,1250.0,40406,0.06561,0.03735,0.025,0.01037,32.32,0.21428,41675,0.0728,0.04142,0.02774,0.01037,33.34,0.21428,46519,0.0816,0.04645,0.03106,0.01036,37.22,0.21428,50333,0.08881,0.05056,0.03381,0.0114,40.27,0.21429,62348,0.08538,0.04833,0.03278,0.01139,49.88,0.21428,73004,0.08428,0.04749,0.03257,0.00984,58.4,0.21429,24.57,45.04,0.0232
HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,TN_CC_GROMBALIA,36.78,10.99,750.0,54837,0.03022,0.01287,0.01583,0.00842,73.12,0.21051,56561,0.03352,0.01429,0.01756,0.00842,75.41,0.21053,63134,0.03757,0.01601,0.01967,0.00843,84.18,0.21054,68308,0.04089,0.01742,0.02142,0.00928,91.08,0.21052,84615,0.03984,0.01688,0.02097,0.00927,112.82,0.21053,99077,0.03974,0.01677,0.02097,0.008,132.1,0.21052,24.57,45.04,0.0107
HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.778,10.8262,1050.0,83701,0.02205,0.01033,0.01061,0.01276,79.72,0.31035,86329,0.02448,0.01148,0.01179,0.01275,82.22,0.31035,96361,0.02743,0.01286,0.01319,0.01276,91.77,0.31034,104261,0.02986,0.01399,0.01437,0.01403,99.3,0.31035,129149,0.02936,0.0138,0.01408,0.01403,123.0,0.31035,151222,0.02949,0.01389,0.01412,0.01213,144.02,0.31035,24.56,45.04,0.0078
HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,TN_CC_GROMBALIA,36.4561,10.7375,600.0,56281,0.05425,0.02571,0.0261,0.03333,93.8,0.28205,58049,0.06021,0.02853,0.02894,0.03335,96.75,0.28205,64795,0.06746,0.03196,0.03246,0.03332,107.99,0.28206,70106,0.07343,0.0348,0.03532,0.03666,116.84,0.28204,86842,0.07311,0.03476,0.03505,0.03668,144.74,0.28205,101684,0.07407,0.03532,0.03546,0.03167,169.47,0.28205,24.56,45.04,0.0192
HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,TN_CC_BEJA,36.95,9.07,850.0,25976,0.01232,0.00739,0.00431,0.001,30.56,0.0,26792,0.01366,0.00821,0.00478,0.00101,31.52,0.0,29905,0.01532,0.0092,0.00535,0.001,35.18,0.0,32357,0.01666,0.00998,0.00584,0.00111,38.07,0.0,40081,0.01425,0.00856,0.00499,0.0011,47.15,0.0,46931,0.01274,0.00765,0.00445,0.00096,55.21,0.0,24.56,45.04,0.0043
HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,TN_CC_THALA,35.23,9.13,3100.0,31748,0.01232,0.0074,0.00432,0.00101,10.24,0.0,32745,0.01365,0.00818,0.00476,0.00101,10.56,0.0,36551,0.01529,0.00917,0.00536,0.00101,11.79,0.0,39547,0.01664,0.00999,0.00582,0.00111,12.76,0.0,48988,0.01425,0.00855,0.00498,0.0011,15.8,0.0,57360,0.01274,0.00765,0.00446,0.00094,18.5,0.0,24.57,45.04,0.0043
HSU_SERS,Le Sers,السرس,North-West,TN_CC_LE_KEF,36.07,9.02,850.0,25976,0.0164,0.00986,0.00574,0.002,30.56,0.0,26792,0.01821,0.01094,0.00638,0.00202,31.52,0.0,29905,0.0204,0.01224,0.00716,0.00201,35.18,0.0,32357,0.02219,0.01332,0.00776,0.00219,38.07,0.0,40081,0.01901,0.0114,0.00666,0.0022,47.15,0.0,46931,0.017,0.01021,0.00594,0.0019,55.21,0.0,24.56,45.04,0.0058
HSU_SFAX,Sfax,صفاقس,South,TN_CC_SFAX,34.7406,10.7603,3800.0,103903,0.08154,0.0388,0.03797,0.02792,27.34,0.30555,107166,0.09049,0.04305,0.04213,0.02792,28.2,0.30555,119621,0.10144,0.04827,0.04723,0.02791,31.48,0.30556,129427,0.11038,0.05252,0.0514,0.0307,34.06,0.30555,160323,0.11415,0.0544,0.05304,0.03071,42.19,0.30556,187724,0.11875,0.05664,0.0551,0.02652,49.4,0.30555,24.57,45.04,0.0288
HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,TN_CC_GAFSA,35.0381,9.4858,7000.0,28862,0.00655,0.0036,0.00263,0.001,4.12,0.0,29769,0.00729,0.004,0.00292,0.00101,4.25,0.0,33228,0.00816,0.00448,0.00325,0.00099,4.75,0.0,35952,0.00887,0.00487,0.00356,0.00111,5.14,0.0,44534,0.00759,0.00418,0.00303,0.0011,6.36,0.0,52146,0.00681,0.00374,0.00272,0.00096,7.45,0.0,24.57,45.04,0.0023
HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,TN_CC_GROMBALIA,36.7,10.49,550.0,33191,0.05167,0.02097,0.02811,0.00563,60.35,0.13043,34234,0.05734,0.02331,0.0312,0.00567,62.24,0.13043,38212,0.06433,0.02612,0.03496,0.00565,69.48,0.13043,41345,0.06997,0.02842,0.03805,0.00622,75.17,0.13044,51214,0.06438,0.0262,0.03493,0.00621,93.12,0.13043,59968,0.06142,0.02505,0.0333,0.00537,109.03,0.13044,24.57,45.04,0.0183
HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,TN_CC_KAIROUAN,35.35,10.55,1500.0,40407,0.00411,0.00205,0.00186,0.00099,26.94,0.0,41676,0.00456,0.00228,0.00206,0.00101,27.78,0.0,46519,0.00509,0.00254,0.0023,0.00101,31.01,0.0,50333,0.00554,0.00278,0.0025,0.00109,33.56,0.0,62348,0.00475,0.00237,0.00213,0.00111,41.57,0.0,73004,0.00425,0.00212,0.00192,0.00095,48.67,0.0,24.57,45.04,0.0014
HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,TN_CC_SOUK_EL_ARBA,36.5011,8.7803,1400.0,51951,0.04737,0.02833,0.01671,0.00801,37.11,0.1111,53584,0.05257,0.03146,0.01851,0.00801,38.27,0.11112,59811,0.05894,0.03528,0.02077,0.00801,42.72,0.11112,64713,0.06414,0.03838,0.02259,0.00879,46.22,0.11111,80162,0.06205,0.037,0.02206,0.00881,57.26,0.11111,93862,0.06156,0.03661,0.02203,0.0076,67.04,0.11111,24.57,45.04,0.0168
HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,TN_CC_SOUK_EL_ARBA,36.6111,8.9694,750.0,36078,0.02461,0.01599,0.00737,0.002,48.1,0.0,37211,0.0273,0.01774,0.0082,0.00199,49.61,0.0,41535,0.0306,0.01989,0.00917,0.002,55.38,0.0,44940,0.03331,0.02165,0.00999,0.0022,59.92,0.0,55668,0.02851,0.01854,0.00855,0.00219,74.22,0.0,65182,0.0255,0.01657,0.00766,0.0019,86.91,0.0,24.56,45.04,0.0087
HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,TN_CC_SOUSSE,35.8256,10.6411,1400.0,114006,0.08377,0.03706,0.04107,0.02356,81.43,0.43038,117586,0.09296,0.04112,0.04558,0.02357,83.99,0.43038,131250,0.10419,0.04609,0.05109,0.02357,93.75,0.43038,142011,0.11339,0.05017,0.05559,0.02593,101.44,0.43038,175910,0.11661,0.05167,0.05705,0.02592,125.65,0.43038,205976,0.12085,0.05361,0.05906,0.0224,147.13,0.43038,24.56,45.04,0.0296
HSU_TABARKA,Tabarka,طبرقة,North-West,TN_CC_SOUK_EL_ARBA,36.9544,8.7581,700.0,23089,0.06046,0.03205,0.02499,0.0055,32.98,0.12499,23815,0.0671,0.03561,0.02771,0.0055,34.02,0.12501,26583,0.07524,0.03995,0.03107,0.00553,37.98,0.125,28761,0.08185,0.04343,0.0338,0.00605,41.09,0.125,35627,0.08098,0.04283,0.03351,0.00606,50.9,0.12499,41717,0.08169,0.04315,0.03385,0.00523,59.6,0.12501,24.57,45.05,0.0214
HSU_TATAOUINE,Tataouine,تطاوين,South,TN_TERR_SUD,32.9297,10.4517,38000.0,28862,0.00655,0.00426,0.00197,0.01001,0.76,0.0,29769,0.00729,0.00474,0.00218,0.01001,0.78,0.0,33228,0.00816,0.0053,0.00244,0.00999,0.87,0.0,35952,0.00887,0.00576,0.00267,0.01099,0.95,0.0,44534,0.00759,0.00494,0.00227,0.011,1.17,0.0,52146,0.00681,0.00443,0.00203,0.00949,1.37,0.0,24.57,45.04,0.0023
HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,TN_CC_BIZERTE,36.83,9.84,650.0,33191,0.06951,0.03127,0.03477,0.01217,51.06,0.13043,34234,0.07715,0.0347,0.03856,0.01218,52.67,0.13043,38212,0.08649,0.03891,0.04326,0.01217,58.79,0.13043,41345,0.09411,0.04235,0.04704,0.01338,63.61,0.13044,51214,0.08804,0.03962,0.04403,0.01339,78.79,0.13043,59968,0.0851,0.0383,0.04256,0.01156,92.26,0.13044,24.57,45.04,0.0246
HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,TN_CC_LE_KEF,36.46,9.25,900.0,33191,0.03028,0.01585,0.0129,0.00738,36.88,0.13043,34234,0.03362,0.01758,0.01434,0.00739,38.04,0.13043,38212,0.03771,0.01976,0.01607,0.00741,42.46,0.13043,41345,0.04102,0.02148,0.01749,0.00813,45.94,0.13044,51214,0.0396,0.02062,0.01699,0.00812,56.9,0.13043,59968,0.03924,0.02036,0.01691,0.00702,66.63,0.13044,24.57,45.04,0.0107
HSU_THALA,Thala,تالة,Center-West,TN_CC_THALA,35.57,8.67,2600.0,40407,0.02084,0.01225,0.00765,0.00329,15.54,0.07142,41676,0.02315,0.01363,0.00849,0.00329,16.03,0.07143,46519,0.02595,0.01526,0.00952,0.00327,17.89,0.07143,50333,0.02823,0.01663,0.01035,0.00362,19.36,0.07142,62347,0.02744,0.01614,0.0101,0.00361,23.98,0.07142,73004,0.02733,0.01604,0.01011,0.00312,28.08,0.07143,24.57,45.04,0.0074
HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,TN_CC_GAFSA,33.9197,8.1336,4700.0,40408,0.02284,0.01255,0.00913,0.02037,8.6,0.35716,41676,0.02536,0.01394,0.01015,0.02037,8.87,0.35714,46519,0.02842,0.01563,0.01137,0.02036,9.9,0.35714,50333,0.03091,0.01699,0.01238,0.02239,10.71,0.35714,62349,0.0314,0.01727,0.01254,0.02239,13.27,0.35715,73003,0.03226,0.01774,0.01292,0.01934,15.53,0.35714,24.56,45.04,0.0081
HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,TN_CC_TUNIS,36.8065,10.1815,350.0,216466,0.28465,0.13569,0.12997,0.08279,618.47,0.78667,223265,0.31588,0.15058,0.14423,0.0828,637.9,0.78667,249210,0.35408,0.16879,0.16167,0.0828,712.03,0.78667,269640,0.38531,0.18367,0.17594,0.09108,770.4,0.78667,334007,0.40373,0.19232,0.18438,0.09108,954.31,0.78667,391092,0.42368,0.20172,0.19352,0.07866,1117.41,0.78667,24.56,45.04,0.1007
HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,TN_CC_ZAGHOUAN,36.4028,10.1433,2750.0,36077,0.04854,0.02611,0.01979,0.00504,13.12,0.11999,37210,0.05388,0.029,0.02198,0.00503,13.53,0.11999,41535,0.06038,0.03248,0.02463,0.00506,15.1,0.12,44940,0.06571,0.03534,0.02681,0.00556,16.34,0.12,55668,0.06176,0.03312,0.02527,0.00555,20.24,0.12,65182,0.05992,0.03205,0.02458,0.00479,23.7,0.12,24.57,45.04,0.0172
