vital_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,pop_estimated_total,births_muslim,births_jewish,births_french,births_italian,births_other_european,births_total,deaths_muslim,deaths_jewish,deaths_french,deaths_italian,deaths_other_european,deaths_total,infant_deaths_under1,marriages_recorded,crude_birth_rate_per_1000,crude_death_rate_per_1000,infant_mortality_rate_per_1000,rate_of_natural_increase_pct
1911,HSU_GABES,Gabès Littoral,قابس,South,40480,1555,38,31,25,3,1652,962,18,15,12,2,1009,264,304,40.81,24.93,159.8,1.59
1911,HSU_DJERBA,Djerba,جربة,South,38026,1383,131,12,13,1,1540,856,62,6,6,1,931,240,285,40.5,24.48,155.8,1.6
1911,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,58879,2399,26,13,10,1,2449,1485,12,6,5,1,1509,400,442,41.59,25.63,163.3,1.6
1911,HSU_TATAOUINE,Tataouine,تطاوين,South,24533,1013,8,3,1,0,1025,627,4,1,1,0,633,168,184,41.78,25.8,163.9,1.6
1911,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,33120,1382,3,2,1,0,1388,856,2,1,0,0,859,228,248,41.91,25.94,164.3,1.6
1911,HSU_MATMATA,Matmata,مطماطة,South,12267,513,0,0,0,0,513,318,0,0,0,0,318,85,92,41.82,25.92,165.7,1.59
1921,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,216466,5203,574,734,760,107,7378,3012,269,352,366,53,4052,1022,1623,34.08,18.72,138.5,1.54
1921,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,79371,2430,42,185,161,20,2838,1407,19,89,77,10,1602,432,595,35.76,20.18,152.2,1.56
1921,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,37520,1334,11,27,24,3,1399,772,5,13,11,1,802,225,281,37.29,21.38,160.8,1.59
1921,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,33191,1158,13,26,31,3,1231,671,6,12,15,1,705,197,249,37.09,21.24,160.0,1.58
1921,HSU_BEJA,Béja,باجة,North-West,62054,2423,27,51,35,5,2541,1500,13,25,17,2,1557,409,465,40.95,25.09,161.0,1.59
1921,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,40406,1568,13,38,27,3,1649,971,6,18,13,2,1010,265,303,40.81,25.0,160.7,1.58
1921,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,25976,1076,1,5,3,0,1085,666,0,2,1,0,669,178,195,41.77,25.75,164.1,1.6
1921,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,51951,2061,13,37,23,3,2137,1276,6,18,11,2,1313,346,390,41.13,25.27,161.9,1.59
1921,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,36078,1475,2,14,7,1,1499,913,1,7,3,1,925,245,271,41.55,25.64,163.4,1.59
1921,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,25976,1037,3,21,9,1,1071,642,1,10,4,1,658,174,195,41.23,25.33,162.5,1.59
1921,HSU_TABARKA,Tabarka,طبرقة,North-West,23089,906,4,18,16,2,946,561,2,9,8,1,581,152,173,40.97,25.16,160.7,1.58
1921,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,25976,1071,2,6,4,0,1083,663,1,3,2,0,669,178,195,41.69,25.75,164.4,1.59
1921,HSU_LE_KEF,Le Kef,الكاف,North-West,51952,2061,19,32,24,3,2139,1276,9,15,11,1,1312,346,390,41.17,25.25,161.8,1.59
1921,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,34634,1422,2,10,8,1,1443,880,1,5,4,0,890,236,260,41.66,25.7,163.5,1.6
1921,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,33191,1342,8,13,12,1,1376,830,4,6,6,1,847,224,249,41.46,25.52,162.8,1.59
1921,HSU_SERS,Le Sers,السرس,North-West,25976,1071,2,6,4,1,1084,663,1,3,2,0,669,178,195,41.73,25.75,164.2,1.6
1921,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,40407,1387,10,35,56,4,1492,803,5,17,27,2,854,237,303,36.92,21.13,158.8,1.58
1921,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,56281,1951,60,36,40,4,2091,1130,28,17,19,2,1196,332,422,37.15,21.25,158.8,1.59
1921,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,33191,1189,6,17,25,2,1239,688,3,8,12,1,712,200,249,37.33,21.45,161.4,1.59
1921,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,54837,2003,15,18,23,2,2061,1160,7,8,11,1,1187,335,411,37.58,21.65,162.5,1.59
1921,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,36077,1297,6,24,19,2,1348,751,3,11,9,1,775,218,271,37.36,21.48,161.7,1.59
1921,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,114006,3867,86,106,126,17,4202,2239,40,51,61,8,2399,663,855,36.86,21.04,157.8,1.58
1921,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,83701,3070,34,22,24,2,3152,1777,16,10,12,1,1816,513,628,37.66,21.7,162.8,1.6
1921,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,59168,2152,18,21,27,3,2221,1246,9,10,13,1,1279,360,444,37.54,21.62,162.1,1.59
1921,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,5772,186,1,14,7,1,209,108,0,7,3,1,119,32,43,36.21,20.62,153.1,1.56
1921,HSU_KAIROUAN,Kairouan,القيروان,Center-West,75041,3026,26,30,24,3,3109,1873,12,14,11,1,1911,506,563,41.43,25.47,162.8,1.6
1921,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,40407,1528,1,2,2,0,1533,884,1,1,1,0,887,252,303,37.94,21.95,164.4,1.6
1921,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,38964,1584,4,16,12,1,1617,981,2,8,6,1,998,264,292,41.5,25.61,163.3,1.59
1921,HSU_THALA,Thala,تالة,Center-West,40407,1656,4,12,8,1,1681,1025,2,6,4,0,1037,275,303,41.6,25.66,163.6,1.59
1921,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,31748,1316,1,6,4,0,1327,814,0,3,2,0,819,218,238,41.8,25.8,164.3,1.6
1921,HSU_KASSERINE,Kasserine,القصرين,Center-West,25976,1081,1,3,2,0,1087,669,0,2,1,0,672,179,195,41.85,25.87,164.7,1.6
1921,HSU_SFAX,Sfax,صفاقس,South,103903,3886,93,101,107,13,4200,2406,44,48,51,6,2555,665,779,40.42,24.59,158.3,1.58
1921,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,37521,1560,2,3,4,0,1569,966,1,2,2,0,971,258,281,41.82,25.88,164.4,1.59
1921,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,31748,1178,4,7,8,1,1198,682,2,4,4,0,692,196,238,37.73,21.8,163.6,1.59
1921,HSU_KERKENNAH,Kerkennah,قرقنة,South,11545,482,0,0,1,0,483,299,0,0,0,0,299,80,87,41.84,25.9,165.6,1.59
1921,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,56282,2132,35,53,56,6,2282,1320,17,25,27,3,1392,363,422,40.55,24.73,159.1,1.58
1921,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,40408,1624,26,13,10,1,1674,1005,12,6,5,1,1029,272,303,41.43,25.47,162.5,1.6
1921,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,28862,1203,1,3,2,0,1209,745,0,1,1,0,747,199,216,41.89,25.88,164.6,1.6
1921,HSU_GABES,Gabès Littoral,قابس,South,47623,1829,45,36,29,4,1943,1132,21,17,14,2,1186,310,357,40.8,24.9,159.5,1.59
1921,HSU_DJERBA,Djerba,جربة,South,44737,1627,155,14,15,1,1812,1007,73,7,7,1,1095,282,336,40.5,24.48,155.6,1.6
1921,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,69269,2823,30,15,12,1,2881,1747,14,7,6,1,1775,470,520,41.59,25.62,163.1,1.6
1921,HSU_TATAOUINE,Tataouine,تطاوين,South,28862,1192,9,3,2,0,1206,738,4,1,1,0,744,198,216,41.79,25.78,164.2,1.6
1921,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,38964,1626,4,2,1,0,1633,1007,2,1,1,0,1011,269,292,41.91,25.95,164.7,1.6
1921,HSU_MATMATA,Matmata,مطماطة,South,14431,604,0,1,0,0,605,374,0,0,0,0,374,100,108,41.92,25.92,165.3,1.6
1926,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,223265,5102,592,840,869,122,7525,2954,277,403,419,61,4114,1024,1674,33.7,18.43,136.1,1.53
1926,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,81864,2445,43,212,184,23,2907,1416,20,102,88,12,1638,438,614,35.51,20.01,150.7,1.55
1926,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,38699,1367,11,31,27,3,1439,791,5,15,13,2,826,231,290,37.18,21.34,160.5,1.58
1926,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,34234,1185,13,30,36,3,1267,686,6,14,17,2,725,202,257,37.01,21.18,159.4,1.58
1926,HSU_BEJA,Béja,باجة,North-West,64002,2483,28,59,40,5,2615,1537,13,28,19,3,1600,420,480,40.86,25.0,160.6,1.59
1926,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,41675,1605,14,43,31,4,1697,993,6,21,15,2,1037,272,313,40.72,24.88,160.3,1.58
1926,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,26792,1109,1,6,3,0,1119,686,0,3,2,0,691,184,201,41.77,25.79,164.4,1.6
1926,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,53584,2114,14,42,27,4,2201,1309,6,20,13,2,1350,355,402,41.08,25.19,161.3,1.59
1926,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,37211,1517,2,16,8,1,1544,939,1,8,4,1,953,252,279,41.49,25.61,163.2,1.59
1926,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,26792,1064,3,24,10,2,1103,659,1,11,5,1,677,178,201,41.17,25.27,161.4,1.59
1926,HSU_TABARKA,Tabarka,طبرقة,North-West,23815,928,4,21,18,2,973,574,2,10,9,1,596,156,179,40.86,25.03,160.3,1.58
1926,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,26792,1102,2,7,5,1,1117,682,1,3,2,0,688,183,201,41.69,25.68,163.8,1.6
1926,HSU_LE_KEF,Le Kef,الكاف,North-West,53584,2115,20,37,27,3,2202,1309,9,18,13,2,1351,356,402,41.09,25.21,161.7,1.59
1926,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,35722,1463,2,11,9,1,1486,906,1,5,4,1,917,243,268,41.6,25.67,163.5,1.59
1926,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,34234,1379,8,15,13,2,1417,854,4,7,6,1,872,230,257,41.39,25.47,162.3,1.59
1926,HSU_SERS,Le Sers,السرس,North-West,26792,1102,2,7,5,1,1117,682,1,4,2,0,689,183,201,41.69,25.72,163.8,1.6
1926,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,41676,1415,10,40,64,5,1534,819,5,19,31,2,876,242,313,36.81,21.02,157.8,1.58
1926,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,58049,1999,62,41,45,4,2151,1158,29,20,22,2,1231,341,435,37.05,21.21,158.5,1.58
1926,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,34234,1219,6,20,29,3,1277,706,3,10,14,1,734,205,257,37.3,21.44,160.5,1.59
1926,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,56561,2059,15,20,27,2,2123,1192,7,10,13,1,1223,345,424,37.53,21.62,162.5,1.59
1926,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,37210,1331,6,27,22,3,1389,770,3,13,11,1,798,224,279,37.33,21.45,161.3,1.59
1926,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,117586,3948,89,121,145,19,4322,2285,42,58,70,10,2465,679,882,36.76,20.96,157.1,1.58
1926,HSU_MONASTIR,Monastir & Sahel Central,المنستير ووسط الساحل,Sahel/Center-East,86329,3158,35,25,27,3,3248,1829,17,12,13,1,1872,528,647,37.62,21.68,162.6,1.59
1926,HSU_MAHDIA,Mahdia & Sahel Sud,المهدية وجنوب الساحل,Sahel/Center-East,61026,2211,19,25,31,3,2289,1280,9,12,15,2,1318,371,458,37.51,21.6,162.1,1.59
1926,HSU_ENFIDHA,Enfidha,النفيضة,Sahel/Center-East,5954,188,1,16,8,1,214,109,0,8,4,1,122,33,45,35.94,20.49,154.2,1.55
1926,HSU_KAIROUAN,Kairouan,القيروان,Center-West,77398,3111,27,34,27,3,3202,1926,12,16,13,2,1969,520,580,41.37,25.44,162.4,1.59
1926,HSU_SOUASSI,Les Souassi,السواسي,Sahel/Center-East,41676,1575,1,2,2,0,1580,912,1,1,1,0,915,260,313,37.91,21.96,164.6,1.6
1926,HSU_MAKTAR,Maktar & Siliana,مكثر وسليانة,Center-West,40188,1629,4,18,13,1,1665,1008,2,9,6,1,1026,271,301,41.43,25.53,162.8,1.59
1926,HSU_THALA,Thala,تالة,Center-West,41676,1704,4,14,10,1,1733,1055,2,7,5,1,1070,283,313,41.58,25.67,163.3,1.59
1926,HSU_SBEITLA,Sbeïtla,سبيطلة,Center-West,32745,1355,1,7,4,1,1368,839,0,3,2,0,844,225,246,41.78,25.77,164.5,1.6
1926,HSU_KASSERINE,Kasserine,القصرين,Center-West,26792,1114,1,4,2,0,1121,690,0,2,1,0,693,184,201,41.84,25.87,164.1,1.6
1926,HSU_SFAX,Sfax,صفاقس,South,107166,3968,96,115,122,15,4316,2456,45,55,59,7,2622,681,804,40.27,24.47,157.8,1.58
1926,HSU_DJEBINIANA,Djebeniana,جبنيانة,South,38699,1607,2,4,5,0,1618,995,1,2,2,0,1000,266,290,41.81,25.84,164.4,1.6
1926,HSU_EL_DJEM,El Djem,الجم,Sahel/Center-East,32746,1212,4,8,10,1,1235,702,2,4,5,0,713,202,246,37.71,21.77,163.6,1.59
1926,HSU_KERKENNAH,Kerkennah,قرقنة,South,11907,497,0,1,1,0,499,308,0,0,0,0,308,82,89,41.91,25.87,164.3,1.6
1926,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,58049,2177,36,60,64,7,2344,1348,17,29,31,3,1428,372,435,40.38,24.6,158.7,1.58
1926,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,41676,1670,27,15,11,1,1724,1034,13,7,5,1,1060,280,313,41.37,25.43,162.4,1.59
1926,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,29769,1240,1,3,2,0,1246,768,0,1,1,0,770,205,223,41.86,25.87,164.5,1.6
1926,HSU_GABES,Gabès Littoral,قابس,South,49118,1874,46,42,33,4,1999,1160,22,20,16,2,1220,319,368,40.7,24.84,159.6,1.59
1926,HSU_DJERBA,Djerba,جربة,South,46141,1672,160,16,18,2,1868,1035,75,8,9,1,1128,291,346,40.48,24.45,155.8,1.6
1926,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,71445,2906,31,17,14,2,2970,1799,15,8,7,1,1830,484,536,41.57,25.61,163.0,1.6
1926,HSU_TATAOUINE,Tataouine,تطاوين,South,29769,1229,10,4,2,0,1245,761,4,2,1,0,768,204,223,41.82,25.8,163.9,1.6
1926,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,40187,1677,4,2,1,0,1684,1038,2,1,1,0,1042,277,301,41.9,25.93,164.5,1.6
1926,HSU_MATMATA,Matmata,مطماطة,South,14884,623,0,1,0,0,624,386,0,0,0,0,386,103,112,41.92,25.93,165.1,1.6
1931,HSU_TUNIS,Tunis & Banlieue,تونس وضواحيها,North-East,249210,5333,660,1052,1088,153,8286,3087,310,505,524,77,4503,1101,1869,33.25,18.07,132.9,1.52
1931,HSU_BIZERTE,Bizerte Maritime,بنزرت الكبرى,North-East,91378,2647,48,265,230,29,3219,1532,22,127,111,14,1806,480,685,35.23,19.76,149.1,1.55
1931,HSU_MATEUR,Mateur - Ichkeul,ماطر والإشكل,North-East,43197,1514,12,39,34,4,1603,876,6,19,16,2,919,256,324,37.11,21.27,159.7,1.58
1931,HSU_TEBOURBA,Tébourba - Basse Medjerda,طبربة ومجاز المجردة السفلى,North-East,38212,1309,15,37,45,4,1410,758,7,18,21,2,806,224,287,36.9,21.09,158.9,1.58
1931,HSU_BEJA,Béja,باجة,North-West,71440,2748,31,74,50,7,2910,1701,15,35,24,3,1778,466,536,40.73,24.89,160.1,1.58
1931,HSU_MEDJEZ_EL_BAB,Medjez el-Bab & Testour,مجاز الباب وتستور,North-West,46519,1774,15,54,39,5,1887,1098,7,26,19,2,1152,301,349,40.56,24.76,159.5,1.58
1931,HSU_NEFZA,Nefza & Littoral Kroumir,نفزة والشمال الغربي,North-West,29905,1236,1,7,4,1,1249,765,0,3,2,0,770,205,224,41.77,25.75,164.1,1.6
1931,HSU_SOUK_EL_ARBA,Jendouba (Souk el-Arba),جندوبة (سوق الأربعاء),North-West,59811,2344,15,53,34,4,2450,1451,7,25,16,2,1501,395,449,40.96,25.1,161.2,1.59
1931,HSU_SOUK_EL_KHEMIS,Boussalem (Souk el-Khemis),بوسالم (سوق الخميس),North-West,41535,1688,3,21,10,2,1724,1045,1,10,5,1,1062,281,312,41.51,25.57,163.0,1.59
1931,HSU_AIN_DRAHAM,Aïn Draham,عين دراهم,North-West,29905,1180,3,30,13,2,1228,730,1,14,6,1,752,198,224,41.06,25.15,161.2,1.59
1931,HSU_TABARKA,Tabarka,طبرقة,North-West,26583,1026,5,27,22,3,1083,635,2,13,11,1,662,174,199,40.74,24.9,160.7,1.58
1931,HSU_GHARDIMAOU,Ghardimaou,غار الدماء,North-West,29905,1228,2,9,6,1,1246,760,1,4,3,0,768,204,224,41.67,25.68,163.7,1.6
1931,HSU_LE_KEF,Le Kef,الكاف,North-West,59810,2346,22,46,34,4,2452,1452,10,22,16,2,1502,395,449,41.0,25.11,161.1,1.59
1931,HSU_DAHMANI,Dahmani (Ebba Ksour),الدهماني (القصور),North-West,39874,1629,3,14,11,1,1658,1008,1,7,5,1,1022,271,299,41.58,25.63,163.4,1.6
1931,HSU_TEBOURSOUK,Téboursouk & Dougga,تبرسق ودقة,North-West,38212,1532,9,19,17,2,1579,949,4,9,8,1,971,256,287,41.32,25.41,162.1,1.59
1931,HSU_SERS,Le Sers,السرس,North-West,29905,1228,2,9,6,1,1246,760,1,4,3,0,768,204,224,41.67,25.68,163.7,1.6
1931,HSU_CAP_BON,Grombalia & Cap Bon Ouest,قرمبالية وغرب الوطن القبلي,North-East,46519,1558,11,50,79,6,1704,902,5,24,38,3,972,268,349,36.63,20.89,157.3,1.57
1931,HSU_NABEUL,Nabeul & Hammamet,نابل والحمامات,North-East,64795,2214,69,52,57,5,2397,1282,32,25,27,3,1369,379,486,36.99,21.13,158.1,1.59
1931,HSU_SOLIMAN,Soliman & Mornag,سليمان ومرناق,North-East,38212,1350,7,25,36,3,1421,782,3,12,17,2,816,228,287,37.19,21.35,160.5,1.58
1931,HSU_MENZEL_TEMIME,Menzel Temime & Cap Bon Est,منزل تميم وشرق الوطن القبلي,North-East,63134,2289,17,25,34,3,2368,1325,8,12,16,2,1363,384,474,37.51,21.59,162.2,1.59
1931,HSU_ZAGHOUAN,Zaghouan,زغوان,North-East,41535,1475,7,34,28,4,1548,854,3,16,13,2,888,249,312,37.27,21.38,160.9,1.59
1931,HSU_SOUSSE,Sousse & Sahel Nord,سوسة وشمال الساحل,Sahel/Center-East,131250,4350,99,151,181,24,4805,2519,46,73,87,12,2737,752,984,36.61,20.85,156.5,1.58
