census_year,hsu_id,hsu_name_fr,hsu_name_ar,region_macro,active_labor_force_total,active_tunisian_muslim,active_tunisian_jewish,active_european,active_primary_agriculture,active_secondary_mining_industry,active_secondary_crafts_artisans,active_tertiary_commerce_transport,active_tertiary_public_admin_liberal,share_active_agriculture,share_active_industry_mining,share_active_crafts,share_active_commerce_transport,share_active_public_admin
1936,HSU_KERKENNAH,Kerkennah,قرقنة,South,5752,5712,6,34,4141,345,518,460,288,0.7199,0.06,0.0901,0.08,0.0501
1936,HSU_GAFSA,Gafsa & Bassin Minier,قفصة والحوض المنجمي,South,28043,24333,576,3134,12619,8413,2243,3085,1683,0.45,0.3,0.08,0.11,0.06
1936,HSU_TOZEUR,Tozeur (Djérid),توزر (الجريد),South,20133,19051,428,654,14496,1208,1812,1611,1006,0.72,0.06,0.09,0.08,0.05
1936,HSU_SIDI_BOU_ZID,Sidi Bouzid,سيدي بوزيد,Center-West,14381,14232,15,134,10354,863,1294,1150,720,0.72,0.06,0.09,0.08,0.0501
1936,HSU_GABES,Gabès Littoral,قابس,South,23728,21105,729,1894,17084,1424,2136,1898,1186,0.72,0.06,0.09,0.08,0.05
1936,HSU_DJERBA,Djerba,جربة,South,22290,18943,2517,830,16049,1337,2006,1783,1115,0.72,0.06,0.09,0.08,0.05
1936,HSU_MEDENINE,Médenine & Zarzis,مدنين وجرجيس,South,34514,33234,496,784,15531,10354,2761,3797,2071,0.45,0.3,0.08,0.11,0.06
1936,HSU_TATAOUINE,Tataouine,تطاوين,South,14381,14097,150,134,10354,863,1294,1150,720,0.72,0.06,0.09,0.08,0.0501
1936,HSU_KEBILI,Kébili & Nefzaoua,قبلي ونفزاوة,South,19414,19266,65,83,13978,1165,1747,1553,971,0.72,0.06,0.09,0.08,0.05
1936,HSU_MATMATA,Matmata,مطماطة,South,7190,7157,8,25,5177,431,647,575,360,0.72,0.0599,0.09,0.08,0.0501
