census_year,census_date,title,series_title,bnf_notice_id,gallica_ark,gallica_url,publisher,publication_place,publication_year,doc_type,coverage_scope,admin_granularity,variables,notes
1890,1890-1950,"Recensement des populations nomades, semi-nomades et fractions militaires des Territoires du Sud",Commandement supérieur des Territoires du Sud / Affaires indigènes,cb32861655f,ark:/12148/cb32861655f,https://gallica.bnf.fr/ark:/12148/cb32861655f,Imprimerie militaire,Tunis / Medenine,1891-1951,military_and_nomadic_census,southern_military_territories,"cercle_militaire,poste_annexe,fraction_tribale",tentes_nomades_recensees; pop_nomade_masculine; pop_nomade_feminine; fractions_goum_auxiliaires; troupeaux_en_transhumance,"Military censuses of transhumant pastoralist confederations (Ouerghemma, Nefzaoua, Merazig, Touazine, Ouderna) administered by the Bureaux des Affaires Indigènes."
1890,1880-1938,Statistique des chemins de fer tunisiens (Trafic voyageurs et fret par gare),Statistique des chemins de fer français / Documents divers : Algérie et Tunisie,cb340156707,ark:/12148/bpt6k6327338z,https://gallica.bnf.fr/ark:/12148/bpt6k6327338z,Ministère des Travaux Publics / Compagnie Fermière des Chemins de fer Tunisiens (CFT),Paris / Tunis,1891,railway_passenger_and_freight_census,national_railway_network,"gare_ferroviaire,commune,caidat",passengers_embarked_by_station; passengers_class_breakdown; freight_tonnage_cereals; freight_tonnage_phosphates; freight_tonnage_iron_ore; freight_tonnage_wine_oil,"Annual station-by-station enumeration of passenger departures and arrivals across all Tunisian railway nodes, providing a vital spatial metric of mobility and economic connectivity."
1891,1891-04-12,Dénombrement des Français en Tunisie au 12 avril 1891,Statistique générale de la Tunisie,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction des renseignements et des contrôles civils,Tunis,1892,partial_census,french_only,"controle_civil,commune",pop_french_male; pop_french_female; pop_french_total; professions,First systematic count of French population in the Regency under the Protectorate.
1891,1891-01-01,Procès-verbaux des séances de la Conférence consultative de la Tunisie et Budgets régionaux des Contrôles civils (1891-1922),Conférence consultative de la Tunisie. Procès-verbaux des sessions,cb32746816x,ark:/12148/cb32746816x,https://gallica.bnf.fr/ark:/12148/cb32746816x,Imprimerie générale (J. Picard & Cie) / Secrétariat général du Gouvernement tunisien,Tunis,1891-1922,Administrative Proceedings & Budgetary Accounts,Régence de Tunis (All Contrôles civils),"Contrôle Civil, Caïdat, Commune","Subventions régionales, dépenses de voirie vicinale, allocations scolaires et sanitaires par contrôle civil, contingents de main-d'œuvre indigène, taxes locales",Annual institutional and public finance series providing spatial expenditure data by administrative region across 30 years prior to the creation of the Grand Conseil.
1892,1892-1955,Statistique annuelle des pèlerins tunisiens se rendant aux Lieux Saints de l Islam (Pèlerinage à La Mecque / Hajj),Secrétariat général du gouvernement / Service des passeports et des affaires musulmanes,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie officielle,Tunis,1893-1955,hajj_pilgrimage_and_mobility_census,tunisian_muslim_pilgrims,"caidat_d_origine,port_d_embarquement",pilgrims_male; pilgrims_female; passports_issued; sanitary_passports_el_tor_quarantine; social_profession_of_pilgrim,"Surveillance and demographic registration of Tunisian pilgrims traveling to Mecca, recording home caïdat, age, wealth status, and sanitary quarantine clearance."
1892,1885-1955,"Statistique du mouvement de la population (Naissances, mariages, décès et état civil)",Statistique générale de la Tunisie / Bulletin de la Statistique générale de la France,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Service de la Statistique générale / Secrétariat général du gouvernement,Tunis,1893,vital_statistics_and_civil_registration_census,national_civil_registration,"controle_civil,commune,caidat",live_births_by_community; deaths_by_community; stillbirths_mort_nes; marriages_and_divorces; infant_mortality_rate; crude_death_rate,"Continuous annual vital demographic registers recording live births, deaths, stillbirths, and marriages broken down by community (French, Italian, Maltese, Tunisian Muslim, Tunisian Jewish) across communes and caïdats."
1892,1892-04-01,"Statistique générale des forces hydrauliques, barrages et forages artésiens de la Tunisie",Service hydraulique et de l'assainissement agricole,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction générale des travaux publics,Tunis,1893-1952,Hydrological Survey & Well Census,"Sud tunisien (Djérid, Nefzaoua, Chott el-Djerid), Plaine de la Medjerda","Oasis, Caïdat, Périmètre irrigué","Recensement des puits artésiens forés, débit en litres/seconde, salinité des eaux, superficie nouvellement irriguée, périmètres hydrauliques de colonisation",Essential environmental and technological proxy capturing how French artesian drilling transformed the carrying capacity and population density of the southern desert oases.
1893,1893-05-15,"Rapport au Résident Général sur les cultures fruitières, et en particulier sur la culture de l'olivier, dans le centre de la Tunisie (Enquête foncière et arboricole de Sfax et du Sahel)",Direction générale de l'Agriculture et du Commerce,cb30143890k,ark:/12148/bpt6k54928120,https://gallica.bnf.fr/ark:/12148/bpt6k54928120,Imprimerie rapide (Louis Nicolas & Cie),Tunis,1893,Agrarian Survey & Tree Census,"Sfax, Sahel (Sousse, Mahdia, Monastir), Kairouan, Steppe centrale","Contrôle Civil, Caïdat, Zone de plantation","Recensement des oliviers en plein rapport, jeunes plants, superficie des terres domaniales et collectives disponibles (terres Siala), contrats de Mgharsa, main-d'œuvre agricole",Foundational survey by Director of Agriculture Paul Bourde that launched the massive expansion of the Sfax olive forest on the Siala public domain lands.
1894,1894-1948,"Revue tunisienne (Institut de Carthage) : Études démographiques, toponymiques et sociologiques sur les tribus et cités",Revue tunisienne / Institut de Carthage,cb34426578m,ark:/12148/cb34426578m,https://gallica.bnf.fr/ark:/12148/cb34426578m,Institut de Carthage,Tunis,1894-1948,scholarly_demographic_and_ethnographic_serial,historical_and_regional_monographs,"tribu,caidat,bourg_historique",genealogies_tribales; toponymie_arabe_et_berbere; statistiques_demographiques_locales; corporations_de_metiers,"Pioneering multidisciplinary journal publishing comprehensive demographic surveys, local monographs, guild rolls, and historical censuses of Tunisian towns and tribes."
1895,1890-1940,Statistique de l'hydraulique agricole et des puits artésiens (Recensement des forages et débits d'eau),Statistique générale de la Tunisie / Bulletin de la Direction générale des travaux publics,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction générale des Travaux Publics / Service de l'Hydraulique,Tunis,1896,hydrological_and_irrigation_census,oases_and_agricultural_plains,"oasis,puits_artesien,caidat",artesian_wells_count; flow_rate_liters_second; irrigated_hectares_area; traditional_springs_ains_count; water_rights_holders_count,"Exhaustive census of all drilled artesian wells and natural oases springs, recording flow rates and irrigated areas in the Djerid, Nefzaoua, Gabès, and Tell basins (the core constraint on local carrying capacity)."
1895,1890-1940,Statistique de la justice et des établissements pénitentiaires (Recensement de la population carcérale),Statistique générale de la Tunisie / Rapports judiciaires,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction de la Justice / Service des Établissements Pénitentiaires,Tunis,1896,judicial_and_penitentiary_census,prison_inmates_and_convictions,"prison_etablissement,tribunal_regional,caidat",prison_inmates_count; penitentiary_labor_headcount; convictions_by_religious_group; convictions_by_nationality; civil_litigation_cases_caidal_courts,"Annual census of prison populations in colonial correctional facilities (Tunis, Ghar El Melh, Téboursouk, Sousse, Sfax, Gafsa) and caïdal mahkama civil dispute rates."
1895,1895-12-31,Statistique générale de la navigation maritime et du mouvement de la batellerie marchande,Direction générale des travaux publics. Service des ports et phares,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie rapide,Tunis,1896-1955,Maritime & Port Statistics,"Ports maritimes de la Tunisie (Tunis-Goulette, Bizerte, Sousse, Sfax, Gabès, Mahdia, Tabarka, Djerba)",Ports maritimes,"Nombre de vapeurs et voiliers entrés/sortis, tonnage de jauge nette, nationalité des pavillons, passagers débarqués/embarqués, exportations d'huile et minerai","Quantifies the international connectivity, immigration flows, and spatial hub primacy of coastal port cities compared to inland regions."
1896,1896-04-19,Dénombrement de la population française de la Régence de Tunis au 19 avril 1896,Statistique générale de la Tunisie,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction des renseignements et des contrôles civils,Tunis,1897,partial_census,french_only,"controle_civil,commune",pop_french_male; pop_french_female; pop_french_total; age_brackets; professions,Second quinquennial count of French nationals with occupation categories.
1896,1896-09-01,"La Tunisie : histoire et description (Enquête géographique, démographique et statistique par localité)",Association française pour l'avancement des sciences (Congrès de Carthage),cb34024316x,ark:/12148/bpt6k57245781,https://gallica.bnf.fr/ark:/12148/bpt6k57245781,Berger-Levrault,Paris / Nancy,1896,Statistical Survey & Gazetteer,"Régence de Tunis (All regions, caïdats and settlements)","Contrôle Civil, Caïdat, Village/Ksar","Population des localités, fractions tribales, points d'eau, réseaux télégraphiques, ressources agricoles, concessions européennes, cheptel estimé",Monographic and quantitative survey compiled for the Carthage scientific congress; serves as the definitive late-19th century demographic benchmark between the 1891 and 1901 French counts.
1898,1898-1950,"Organisation et fonctionnement de l Assistance Médicale Gratuite (AMG) : Dispensaires ruraux, médecins et vaccinations",Direction de la Santé publique / Archives de l Institut Pasteur,cb343779032,ark:/12148/cb343779032,https://gallica.bnf.fr/ark:/12148/cb343779032,Imprimerie générale,Tunis,1899-1951,public_health_and_vaccination_census,rural_indigenous_healthcare,"circonscription_medicale,caidat",dispensaries_count; doctors_count; consultations_indigenes; smallpox_vaccinations_variole; typhus_cases_notified; malaria_treatment_quinine,"Annual reporting on rural medical circuits, free medical assistance, sanitary cordons, and vaccination coverage across indigenous populations."
1898,1890-1945,"Statistique des hôpitaux, infirmeries régionales et de l'assistance médicale publique",Statistique générale de la Tunisie / Direction de la santé publique,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction de la Santé et de l'Assistance Publiques,Tunis,1899,hospital_and_morbidity_census,public_health_and_hospital_facilities,"hopital_dispensaire,commune,caidat",hospital_beds_capacity; admitted_patients_count; outpatient_consultations_count; days_of_hospitalization; morbidity_by_disease_category; patient_mortality_rate,"Annual establishment census of health facilities (Sadiki, Hôpital Civil Français, Hôpital Colonial, Italian Garibaldi Hospital, and regional civil/military infirmaries) tracking patient counts and morbidity."
1898,1898-07-01,"Statistique générale de l'enseignement public et privé en Tunisie (Direction de l'Instruction publique, 1883-1955)",Direction de l'Instruction publique et des Beaux-Arts,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Société anonyme de l'Imprimerie rapide,Tunis,1899-1955,Educational Census & School Statistics,Régence de Tunis (All controls and communes),"Contrôle Civil, Commune, Établissement scolaire","Effectifs d'élèves par sexe, nationalité (Français, Italiens, Maltais) et confession (Musulmans, Israélites), écoles franco-arabes, kouttabs modernisés, Collège Sadiki","Provides continuous spatial indicators of human capital accumulation, literacy barriers, and educational segregation under colonial rule."
1899,1899-05-01,"Rapports annuels de la Compagnie des Phosphates et du Chemin de fer de Gafsa : Statistique d'extraction, trafic ferroviaire et recensement du personnel minier par centre",Compagnie des phosphates et du chemin de fer de Gafsa,cb34438190t,ark:/12148/bpt6k6327338z,https://gallica.bnf.fr/ark:/12148/bpt6k6327338z,Compagnie des phosphates de Gafsa,Paris / Tunis,1899-1955,Industrial and Mining Statistics,Bassin minier de Gafsa et Ligne de Sfax à Gafsa-Métlaoui,"Centres miniers (Métlaoui, Redeyef, Moularès, Mdhilla) et Port minéralier de Sfax","Effectifs ouvriers recensés par nationalité (Tunisiens, Algériens/Kabyles, Tripolitains, Italiens, Français), extraction de phosphate par gisement, salaires ouvriers, accidents du travail, trafic de minerai par gare","Tracks the rapid industrialization, proletarianization, and demographic boom of the Southwestern mining basin, which transformed nomadic pastoralists into industrial wage laborers."
1900,1895-1935,Statistique de l'industrie minérale et des carrières : Recensement du personnel ouvrier des mines,Annales des Mines / Statistique générale de la Tunisie,cb343482705,ark:/12148/bpt6k6327338z,https://gallica.bnf.fr/ark:/12148/bpt6k6327338z,Direction générale des Travaux Publics / Service des Mines,Tunis / Paris,1901,mining_and_industrial_labor_census,mining_concessions_and_basins,"centre_minier,caidat",mineworkers_tunisian; mineworkers_algerian_moroccan; mineworkers_italian; mineworkers_french; extraction_tonnage_phosphate; extraction_tonnage_iron_lead_zinc,"Annual establishment census of all active mines (Gafsa phosphate basin, Djerissa iron, Sakiet lead/zinc) detailing worker headcounts by nationality and underground/surface status."
1900,1900-1950,Statistique du cheptel et assiette des taxes pastorales (Recensement de l Achour et du Kanoun),Statistique générale de la Tunisie / Bulletin de la Direction générale de l agriculture,cb32757727j,ark:/12148/cb32757727j,https://gallica.bnf.fr/ark:/12148/cb32757727j,Direction de l Agriculture et du Commerce,Tunis,1901-1951,livestock_and_pastoral_census,pastoral_herds_and_draft_animals,"caidat,cheikhat",head_count_sheep_ovins; head_count_goats_caprins; head_count_cattle_bovins; head_count_camels_camelides; head_count_equines_chevaux_mulets,"Annual tax enumeration of domestic livestock for the Achour and Kanoun tax rolls, providing direct measurement of rural pastoral wealth across all caïdats."
1900,1900-01-01,Statistique pénitentiaire et compte général de l'administration de la justice répressive en Tunisie,Direction générale de la Justice de la Régence de Tunis,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie officielle,Tunis,1901-1950,Penitentiary & Judicial Demographics,"Prisons centrales (Tunis, Ghar el-Melh, Téboursouk) et dépôts régionaux","Établissements pénitentiaires, Contrôles civils","Population carcérale recensée par nationalité, religion, âge, profession antérieure, nature des délits (agricoles, fiscaux, politiques), mortalité en détention","Captures the repressive mechanisms of colonial policing and social control, rural rebellion, and judicial punishment of indigenous resistance."
1901,1901-04-14,Dénombrement de la population française de la Régence de Tunis au 14 avril 1901,Statistique générale de la Tunisie,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Secrétariat général du gouvernement tunisien,Tunis,1902,partial_census,french_only,"controle_civil,commune",pop_french_male; pop_french_female; pop_french_total; civil_status; professions,"Third quinquennial French census, includes military personnel."
1901,1901-1956,Enquêtes et décrets de délimitation des terres collectives des tribus tunisiennes,Journal officiel tunisien / Publications de la Direction de l'Intérieur,cb328014521,ark:/12148/cb328014521,https://gallica.bnf.fr/ark:/12148/cb328014521,Secrétariat général du gouvernement tunisien / Conseils de gestion tribaux,Tunis,1902,tribal_collective_land_census,pastoral_and_tribal_confederations,"tribu,fraction,douar,parcours",tribal_fraction_names; heads_of_family_beneficiaries; collective_grazing_acreage; conseils_de_gestion_members; territorial_boundary_markers,"Cadastral-ethnographic census under the collective land acts of 1901 and 1935, enumerating tribal fractions, lineage heads, and collective pasture boundaries (Hammama, Fraichiche, Jlass, Majer, Ouerghemma)."
1902,1895-1950,"Statistique des Postes, Télégraphes et Téléphones : Réseau, trafic et mandats postaux",Statistique générale de la Tunisie / Office des PTT,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,"Office des Postes, Télégraphes et Téléphones de Tunisie",Tunis,1903,communications_and_remittance_census,postal_and_telegraph_nodes,"bureau_de_poste,commune,centre_rural",post_offices_count; telegraph_dispatches_volume; telephone_subscribers_count; postal_money_orders_issued; internal_financial_remittances_value,"Exhaustive census of postal agencies, telegraph traffic, telephone subscribers, and domestic postal money orders (capturing migrant labor remittances between Tunis and rural caïdats)."
1904,1900-1950,Statistique des forêts et de l'exploitation du liège (Domaine forestier et populations usagères),Statistique générale de la Tunisie / Bulletin de la Direction générale de l'agriculture,cb32757727j,ark:/12148/cb32757727j,https://gallica.bnf.fr/ark:/12148/cb32757727j,Direction générale de l'Agriculture / Service des Forêts,Tunis,1905,forestry_and_cork_oak_census,state_forest_domain_and_users,"canton_forestier,caidat",forest_acreage_cork_oak; forest_acreage_aleppo_pine; cork_harvest_tonnage_liege; charcoal_kilns_production; forest_dwelling_user_population,"Cadastral forestry census of the state forest domain (Kroumirie, Mogods, Dorsale), recording cork-oak harvest tonnages, timber concessions, and registered forest-user populations (*populations usagères*)."
1904,1904-1955,"Statistique générale de la Tunisie : Mouvement naturel de la population (Naissances, mariages, décès et mortalité infantile)",Statistique générale de la Tunisie / Bureau de la Statistique,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Secrétariat général du gouvernement tunisien,Tunis,1905-1955,vital_statistics_serial,civil_status_registrations,"commune,controle_civil,caidat",annual_births_muslim; annual_births_jewish; annual_births_european; annual_deaths_muslim; annual_deaths_jewish; annual_deaths_european; infant_mortality_rate; natural_increase_rate,"Continuous annual vital statistics series recording live births, stillbirths, deaths by age group, and civil marriages across ethnic and religious communities."
1905,1905-03-01,Recensement des centres de colonisation et des villages de peuplement français en Tunisie,Direction générale de l'Agriculture et de la Colonisation,cb32757727j,ark:/12148/cb32757727j,https://gallica.bnf.fr/ark:/12148/cb32757727j,Imprimerie générale,Tunis,1905-1938,Colonization Centers Census & Cadastral Register,Périmètres de colonisation officielle (Nord et Centre),Centres de colonisation (villages créés par décret),"Date de création par décret, superficie totale du périmètre, nombre de lots concédés, chefs de famille installés (Français de métropole vs Français d'Algérie), cheptel initial","Exhaustive inventory of state-sponsored settlement villages (Massicault, Pont-du-Fahs, Saint-Arnaud, Thibar, etc.) testing the spatial effects of intentional colonization."
1905,1900-1938,"Statistique générale des pêches maritimes en Tunisie (Recensement des embarcations, marins et pêcheurs d'éponges)",Statistique générale de la Tunisie / Bulletin des travaux publics,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Direction des Travaux Publics / Service de la Marine Marchande et des Pêches,Tunis,1906,maritime_and_fisheries_census,coastal_and_island_populations,"port_commune,quartier_maritime,archipel",fishermen_tunisian_muslim; fishermen_italian_sicilian; fishermen_maltese_greek; vessels_count; sponge_fleets_kerkennah_zarzis; coastal_fish_tonnage,"Exhaustive annual census of maritime populations, active fishing fleet vessels, and sponge-fishing diving crews across all Tunisian maritime districts (Bizerte, La Goulette, Sousse, Sfax, Kerkennah, Djerba, Zarzis)."
1906,1906-04-15,Dénombrement de la population civile européenne de la Tunisie au 15 avril 1906,Statistique générale de la Tunisie - Année 1906,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,"Direction générale de l'agriculture, du commerce et de la colonisation",Tunis,1907,european_census,all_europeans,"controle_civil,commune,centre_colonisation",pop_french; pop_italian; pop_maltese; pop_other_european; pop_european_total; sex; age_brackets,First census expanded to all European nationalities (Italians outnumber French). Native population estimated.
1906,1906-1935,"Statistique du Kanoun et de l'Achour (Recensement fiscal des oliviers, palmiers et du cheptel)","Bulletin de la Direction générale de l'agriculture, du commerce et de la colonisation / Statistique générale",cb32757727j,ark:/12148/cb32757727j,https://gallica.bnf.fr/ark:/12148/cb32757727j,"Direction générale de l'Agriculture, du Commerce et de la Colonisation",Tunis,1907,agrarian_fiscal_census,native_rural_producers,"controle_civil,caidat,cheikhat",count_olive_trees_kanoun; count_date_palms_kanoun; cereal_acreage_achour; livestock_bovines; livestock_ovines; livestock_caprines; livestock_camels,Exhaustive annual fiscal tree-by-tree and livestock head count conducted by French controllers and caïds across all cheikhats for tax assessment.
1907,1907-1955,"Sociétés Indigènes de Prévoyance (SIP) : Rôles des fellahs adhérents, prêts de semences et silos coopératifs",Direction de l Intérieur et de la Prévoyance sociale,cb328727346,ark:/12148/cb328727346,https://gallica.bnf.fr/ark:/12148/cb328727346,Imprimerie officielle,Tunis,1908-1955,agrarian_microcredit_and_peasant_census,indigenous_agricultural_operators,"caidat,cheikhat",fellahs_members_count; seed_loans_metric_quintals; cash_advances_francs; drought_relief_beneficiaries,"Compulsory mutual aid societies for Muslim farmers, enumerating peasant heads of household receiving seasonal seed credits and agricultural equipment advances."
1907,1907-1956,"Statistique des Sociétés Indigènes de Prévoyance (SIP : Secours, prêts de semences et sociétaires fellahs)",Rapports sur le fonctionnement des Sociétés Indigènes de Prévoyance / Journal officiel tunisien,cb328014521,ark:/12148/cb328014521,https://gallica.bnf.fr/ark:/12148/cb328014521,Direction générale des Finances / Conseil de surveillance des SIP,Tunis,1908,rural_credit_welfare_and_drought_census,indigenous_peasant_farmers_fellahs,"societe_prevoyance,caidat",societaires_fellahs_count; seed_grain_loans_quintals; subsistence_loans_soudure_francs; grain_reserve_silos_capacity; drought_relief_beneficiaries,"Exhaustive annual census of rural peasant farmers enrolled in the SIP, tracking seasonal seed loans, cash relief, emergency grain reserve silos, and peasant vulnerability to drought across every caïdat."
1908,1908-08-02,"Rapports annuels du Bureau municipal d'hygiène de Tunis : Mouvement démographique, mortalité par quartier et morbidité épidémique (1908-1940)",Direction de la Voirie et des Travaux municipaux. Ville de Tunis,cb328014521,ark:/12148/bpt6k5402194x,https://gallica.bnf.fr/ark:/12148/bpt6k5402194x,Société anonyme de l'Imprimerie rapide,Tunis,1909-1940,Municipal Hygiene & Vital Statistics Report,Commune de Tunis (Grand Tunis et banlieues),"Quartiers municipaux (Médina, Bab Souika, Bab El Jazira, Quartier européen, Hara juive)","Décès par quartier et par cause médicale (typhus, peste, tuberculose, gastro-entérite infantile), naissances, mortalité infantile par groupe ethnique, permis d'inhumer, assainissement urbain",Pioneering micro-spatial public health data series created by Dr. Ernest Conseil; allows neighborhood-level demographic and epidemiological econometric modeling of the colonial metropolis.
